일자,"2013년
67.5 %
84.3 톤
PCC 0.316
습도 (%)","2014년
67.6 %
104.3 톤
PCC 0.689
습도 (%)","2015년
63.6 %
162.0 톤
PCC 0.508
습도 (%)","2016년
82.6 %
263.2 톤
PCC 0.538
습도 (%)","2017년
77.2 %
129.9 톤
PCC 0.779
습도 (%)","2018년
88.3 %
121.3 톤
PCC 0.574
습도 (%)","2019년
87.9 %
150.0 톤
PCC 0.763
습도 (%)","2020년
86.3 %
136.5 톤
PCC 0.736
습도 (%)","2021년
88.5 %
205.9 톤
PCC 0.718
습도 (%)","2022년
84.9 %
219.7 톤
PCC 0.697
습도 (%)","2013년
67.5 %
84.3 톤
PCC 0.316
거래물량 (톤)","2014년
67.6 %
104.3 톤
PCC 0.689
거래물량 (톤)","2015년
63.6 %
162.0 톤
PCC 0.508
거래물량 (톤)","2016년
82.6 %
263.2 톤
PCC 0.538
거래물량 (톤)","2017년
77.2 %
129.9 톤
PCC 0.779
거래물량 (톤)","2018년
88.3 %
121.3 톤
PCC 0.574
거래물량 (톤)","2019년
87.9 %
150.0 톤
PCC 0.763
거래물량 (톤)","2020년
86.3 %
136.5 톤
PCC 0.736
거래물량 (톤)","2021년
88.5 %
205.9 톤
PCC 0.718
거래물량 (톤)","2022년
84.9 %
219.7 톤
PCC 0.697
거래물량 (톤)"
20220101,78.5,56.39,50.36,59.24,64.59,52.57,66.01,66.8,64.22,65.37,,0.91852,0.81923,1.69265,2.79236,1.7260799999999998,0.88642,2.48812,3.91885,5.21335
20220102,70.5,55.76,50.28,59.06,65.4,52.7,65.19,67.2,64.03,65.37,,0.93245,0.8239500000000001,1.72595,2.8337600000000003,1.71017,0.88642,2.30208,3.95936,5.20068
20220103,62.83,55.34,49.79,59.34,65.4,51.74,63.86,67.42,63.87,65.49,2.43,0.93376,0.7942899999999999,1.72595,2.8337600000000003,1.68032,0.91374,2.23292,3.79842,5.18684
20220104,58.5,55.06,49.83,59.44,65.18,51.47,63.04,67.63,64.09,64.83,1.275,0.88424,0.825,1.70959,2.7185900000000003,1.637,0.9158200000000001,2.20608,3.7843299999999997,5.252800000000001
20220105,57.2,54.6,50.33,59.08,65.52,51.6,62.71,68.42,63.45,64,1.39,0.88424,0.88524,1.74618,2.70281,1.62048,0.8990900000000001,2.25332,3.84158,5.17785
20220106,56.33,54.84,50.67,58.74,66.52,51.07,61.87,69.73,63.01,63.13,1.39,0.88638,1.01357,1.74287,2.56448,1.41,0.868,2.18692,3.74104,5.31235
20220107,54.86,54.66,49.76,58.29,66.76,51.03,62.42,70.88,62.19,62.44,1.54875,0.85524,1.01357,1.6372200000000001,2.37257,1.4321700000000002,0.8979,2.3258,3.5948,5.232270000000001
20220108,54,54.45,49.6,58.26,66.74,52,62.67,71.03,61.72,61.78,1.54875,0.8545499999999999,1.0341900000000002,1.63552,2.4309000000000003,1.3031199999999998,0.7542000000000001,2.30604,3.4769200000000002,5.33692
20220109,52.11,52.74,49.92,57.82,66.53,51.81,62.98,70.86,61.6,61.39,2.271,0.88571,1.1099,1.6194300000000001,1.9636,1.2800799999999999,0.7542000000000001,2.35146,3.49524,5.261520000000001
20220110,50.75,52.37,49.78,56.89,66.68,51.3,62.92,70.49,61.56,60.63,2.635,0.88571,1.12738,1.66941,2.02747,1.2800799999999999,0.7323,2.41123,3.54717,5.23032
20220111,51.05,52.05,49.3,55.61,66.25,51.42,62.34,70.42,61.48,59.68,2.92571,0.83905,1.17125,1.52759,2.02747,1.21275,0.72284,2.61496,3.56138,5.51184
20220112,51.5,51.84,49.2,54.85,66.23,51.68,63.05,70.76,61.93,59.52,2.61938,0.83905,1.30965,1.55009,1.90389,1.21733,0.71547,2.67164,3.57108,5.553229999999999
20220113,52.54,51.13,49.37,54.63,65.91,52.45,63.47,70.58,61.94,59.68,2.61938,0.82048,1.30965,1.50009,1.84389,1.17496,0.72256,2.62788,3.46312,5.65654
