일자,"2013년
21.4 ℃
84.3 톤
PCC 0.598
온도 (℃)","2014년
20.9 ℃
104.3 톤
PCC 0.614
온도 (℃)","2015년
20.3 ℃
162.0 톤
PCC 0.642
온도 (℃)","2016년
20.9 ℃
263.2 톤
PCC 0.685
온도 (℃)","2017년
19.5 ℃
129.9 톤
PCC 0.679
온도 (℃)","2018년
19.9 ℃
121.3 톤
PCC 0.692
온도 (℃)","2019년
20.7 ℃
150.0 톤
PCC 0.669
온도 (℃)","2020년
20.5 ℃
136.5 톤
PCC 0.608
온도 (℃)","2021년
21.0 ℃
205.9 톤
PCC 0.508
온도 (℃)","2022년
20.0 ℃
219.7 톤
PCC 0.431
온도 (℃)","2013년
21.4 ℃
84.3 톤
PCC 0.598
거래물량 (톤)","2014년
20.9 ℃
104.3 톤
PCC 0.614
거래물량 (톤)","2015년
20.3 ℃
162.0 톤
PCC 0.642
거래물량 (톤)","2016년
20.9 ℃
263.2 톤
PCC 0.685
거래물량 (톤)","2017년
19.5 ℃
129.9 톤
PCC 0.679
거래물량 (톤)","2018년
19.9 ℃
121.3 톤
PCC 0.692
거래물량 (톤)","2019년
20.7 ℃
150.0 톤
PCC 0.669
거래물량 (톤)","2020년
20.5 ℃
136.5 톤
PCC 0.608
거래물량 (톤)","2021년
21.0 ℃
205.9 톤
PCC 0.508
거래물량 (톤)","2022년
20.0 ℃
219.7 톤
PCC 0.431
거래물량 (톤)"
20220101,-8.3,0.46,-1.35,1.97,0.85,-1.46,-1.8,0.35,-1.49,0.16,,0.91852,0.81923,1.69265,2.79236,1.7260799999999998,0.88642,2.48812,3.91885,5.21335
20220102,-7.7,0.46,-1.41,1.92,0.86,-1.47,-2.08,0.18,-1.62,0.04,,0.93245,0.8239500000000001,1.72595,2.8337600000000003,1.71017,0.88642,2.30208,3.95936,5.20068
20220103,-9.2,0.37,-1.52,1.94,0.9,-1.58,-2.58,0.08,-1.83,-0.29,2.43,0.93376,0.7942899999999999,1.72595,2.8337600000000003,1.68032,0.91374,2.23292,3.79842,5.18684
20220104,-9.9,0.28,-1.46,1.92,0.84,-1.74,-3.08,-0.1,-1.96,-0.33,1.275,0.88424,0.825,1.70959,2.7185900000000003,1.637,0.9158200000000001,2.20608,3.7843299999999997,5.252800000000001
20220105,-9.68,0.14,-1.33,1.72,0.56,-1.64,-3.03,-0.2,-2.06,-0.44,1.39,0.88424,0.88524,1.74618,2.70281,1.62048,0.8990900000000001,2.25332,3.84158,5.17785
20220106,-8.93,0.02,-1.25,1.59,0.61,-1.63,-3.27,-0.08,-2.35,-0.57,1.39,0.88638,1.01357,1.74287,2.56448,1.41,0.868,2.18692,3.74104,5.31235
20220107,-8.53,-0.1,-1.28,1.55,0.76,-1.9,-3.31,0.14,-2.75,-0.85,1.54875,0.85524,1.01357,1.6372200000000001,2.37257,1.4321700000000002,0.8979,2.3258,3.5948,5.232270000000001
20220108,-8.12,-0.17,-1.37,1.37,0.93,-1.76,-3.18,0.39,-3.17,-1.01,1.54875,0.8545499999999999,1.0341900000000002,1.63552,2.4309000000000003,1.3031199999999998,0.7542000000000001,2.30604,3.4769200000000002,5.33692
20220109,-7.74,-0.42,-1.35,1.26,0.95,-1.77,-3.17,0.48,-3.5,-1.07,2.271,0.88571,1.1099,1.6194300000000001,1.9636,1.2800799999999999,0.7542000000000001,2.35146,3.49524,5.261520000000001
20220110,-7.71,-0.63,-1.37,1.11,0.97,-1.98,-3.04,0.45,-4.03,-1.24,2.635,0.88571,1.12738,1.66941,2.02747,1.2800799999999999,0.7323,2.41123,3.54717,5.23032
