일자,"2013년
12.0 ℃
84.3 톤
PCC -0.449
온도 (℃)","2014년
12.5 ℃
104.3 톤
PCC -0.652
온도 (℃)","2015년
14.4 ℃
162.0 톤
PCC -0.183
온도 (℃)","2016년
9.4 ℃
263.2 톤
PCC -0.299
온도 (℃)","2017년
13.2 ℃
129.9 톤
PCC -0.609
온도 (℃)","2018년
10.5 ℃
121.3 톤
PCC -0.498
온도 (℃)","2019년
9.8 ℃
150.0 톤
PCC -0.756
온도 (℃)","2020년
10.3 ℃
136.5 톤
PCC -0.526
온도 (℃)","2021년
9.7 ℃
205.9 톤
PCC -0.682
온도 (℃)","2022년
10.5 ℃
219.7 톤
PCC -0.669
온도 (℃)","2013년
12.0 ℃
84.3 톤
PCC -0.449
거래물량 (톤)","2014년
12.5 ℃
104.3 톤
PCC -0.652
거래물량 (톤)","2015년
14.4 ℃
162.0 톤
PCC -0.183
거래물량 (톤)","2016년
9.4 ℃
263.2 톤
PCC -0.299
거래물량 (톤)","2017년
13.2 ℃
129.9 톤
PCC -0.609
거래물량 (톤)","2018년
10.5 ℃
121.3 톤
PCC -0.498
거래물량 (톤)","2019년
9.8 ℃
150.0 톤
PCC -0.756
거래물량 (톤)","2020년
10.3 ℃
136.5 톤
PCC -0.526
거래물량 (톤)","2021년
9.7 ℃
205.9 톤
PCC -0.682
거래물량 (톤)","2022년
10.5 ℃
219.7 톤
PCC -0.669
거래물량 (톤)"
20220101,12.3,12.32,10.04,10.77,12.32,12.38,12.67,13.35,13.48,14.22,,0.91852,0.81923,1.69265,2.79236,1.7260799999999998,0.88642,2.48812,3.91885,5.21335
20220102,12.55,12.28,10.15,10.99,12.25,12.31,12.59,13.64,13.16,14.29,,0.93245,0.8239500000000001,1.72595,2.8337600000000003,1.71017,0.88642,2.30208,3.95936,5.20068
20220103,12.37,12.43,10.39,11.37,12.14,12.03,12.95,13.69,13.01,14.58,2.43,0.93376,0.7942899999999999,1.72595,2.8337600000000003,1.68032,0.91374,2.23292,3.79842,5.18684
20220104,14.2,12.34,10.84,11.58,12.28,12.06,13.2,13.84,13.06,14.65,1.275,0.88424,0.825,1.70959,2.7185900000000003,1.637,0.9158200000000001,2.20608,3.7843299999999997,5.252800000000001
20220105,15.08,12.27,11.15,11.68,12.09,12.11,13.25,14.14,12.92,14.51,1.39,0.88424,0.88524,1.74618,2.70281,1.62048,0.8990900000000001,2.25332,3.84158,5.17785
20220106,15.22,12.36,11.25,11.72,12.01,12.05,13.7,13.88,12.85,14.41,1.39,0.88638,1.01357,1.74287,2.56448,1.41,0.868,2.18692,3.74104,5.31235
20220107,15.44,12.45,11.12,11.42,12.08,12.09,13.94,13.41,12.75,14.49,1.54875,0.85524,1.01357,1.6372200000000001,2.37257,1.4321700000000002,0.8979,2.3258,3.5948,5.232270000000001
20220108,15.48,12.19,11.27,11.23,11.91,11.99,14.06,13.23,12.65,14.55,1.54875,0.8545499999999999,1.0341900000000002,1.63552,2.4309000000000003,1.3031199999999998,0.7542000000000001,2.30604,3.4769200000000002,5.33692
20220109,14.47,12.13,11.16,11.21,11.89,11.82,14.22,12.93,12.49,14.51,2.271,0.88571,1.1099,1.6194300000000001,1.9636,1.2800799999999999,0.7542000000000001,2.35146,3.49524,5.261520000000001
20220110,14.13,12.34,11.22,11.51,11.74,11.59,13.96,12.93,12.6,14.68,2.635,0.88571,1.12738,1.66941,2.02747,1.2800799999999999,0.7323,2.41123,3.54717,5.23032
20220111,14.56,12.44,11.47,11.54,11.49,11.56,14.23,12.72,12.57,14.74,2.92571,0.83905,1.17125,1.52759,2.02747,1.21275,0.72284,2.61496,3.56138,5.51184
20220112,14.99,12.4,11.69,11.58,11.42,11.63,14.19,12.57,12.64,14.8,2.61938,0.83905,1.30965,1.55009,1.90389,1.21733,0.71547,2.67164,3.57108,5.553229999999999
20220113,14.64,12.53,12.13,11.45,11.42,11.79,14.09,12.22,12.93,14.7,2.61938,0.82048,1.30965,1.50009,1.84389,1.17496,0.72256,2.62788,3.46312,5.65654
20220114,14.63,12.72,11.99,11.62,11.21,11.79,14.11,12.11,13.35,14.54,2.72,0.82048,1.3111,1.36357,1.84389,1.14145,0.7404700000000001,2.70412,3.53436,5.66392
20220115,14.65,12.89,12.14,11.95,11.3,11.83,13.92,11.98,13.84,14.49,2.4515,0.82605,1.27524,1.6781300000000001,1.75583,1.0818599999999998,0.7167100000000001,2.72996,3.45,5.837149999999999
20220116,14.48,13.06,12.27,12.13,11.4,12.05,13.8,11.91,13.94,14.6,2.4383600000000003,0.87627,1.36476,1.60941,1.67594,1.0753199999999998,0.7167100000000001,2.79554,3.55896,5.78424
20220117,14.22,13.21,12.43,12.07,11.44,11.99,13.73,11.92,13.69,14.48,2.2685,0.8901399999999999,1.3175,1.60941,1.59517,1.0753199999999998,0.67871,2.86777,3.54442,5.805359999999999
20220118,14.37,13.17,12.66,11.84,11.39,11.73,13.87,12.08,13.57,14.38,2.34377,0.899,1.3175,1.5738599999999998,1.527,1.03671,0.66518,3.05535,3.4376700000000002,6.27208
20220119,14.56,13.6,12.49,11.56,11.71,11.61,13.72,12.23,13.79,14.67,2.39993,0.87419,1.30395,2.01023,1.32126,0.9924299999999999,0.6709400000000001,3.101,3.3900799999999998,6.19546
20220120,14.52,13.73,12.67,11.64,11.63,11.55,13.6,12.21,14,14.59,2.39993,0.90967,1.25577,1.9541300000000001,1.38232,0.97965,0.59338,3.3208800000000003,3.3152399999999997,6.67738
20220121,13.92,13.69,12.69,11.49,12.03,11.57,13.58,12.28,14.05,14.6,2.70507,0.9222899999999999,1.25577,2.01795,1.4157,1.00047,0.56338,3.4891199999999998,3.4332399999999996,6.70746
20220122,13.92,13.71,12.41,11.59,11.9,11.32,13.62,12.04,13.75,14.61,2.64231,0.944,1.24786,2.03768,1.33879,0.8616699999999999,0.49638,3.56727,3.3207600000000004,7.38562
20220123,13.92,13.93,12.25,11.64,12.06,11.06,13.87,11.74,13.39,14.45,2.6598200000000003,0.84409,1.2735,1.9886400000000002,1.25963,0.8658899999999999,0.49638,3.59512,3.3836,7.257560000000001
20220124,13.8,14.13,12.37,11.54,12.3,11.03,14.06,11.81,13.37,14.17,2.68344,0.8665900000000001,1.31079,2.026,1.331,0.8658899999999999,0.52775,3.62336,3.27412,7.351
20220125,13.52,14.04,12.43,11.52,12.4,11.2,14.03,11.44,13.5,14.05,2.62158,1.00682,1.36444,1.98786,1.31725,0.68835,0.499,3.66808,3.27638,8.16876
20220126,13.33,14.23,12.23,11.43,13,11.19,14.16,11.67,13.14,14.15,2.62158,1.01024,1.4,2.2794499999999998,1.08725,0.71294,0.47625,3.72526,3.42829,8.1415
20220127,13.23,14.67,12,11.66,13.13,11.65,14.59,11.42,13.15,14.25,2.62158,1.12619,1.4797799999999999,2.35557,1.1223699999999999,0.68325,0.45693,3.79595,3.44612,8.94142
20220128,13.37,14.91,11.89,11.67,13.26,11.43,14.7,11.14,13.11,14.21,2.59675,1.16881,1.46505,2.66796,1.14028,0.61933,0.45013,3.80548,3.68148,9.03042
20220129,13.52,15.2,11.68,11.31,13.3,11.26,14.96,10.95,12.81,13.97,2.5954800000000002,1.2043199999999998,1.414,2.6629099999999997,1.1544100000000002,0.59873,0.46,3.65995,3.55788,9.491959999999999
20220130,13.61,15.27,11.43,11.05,13.12,11.43,15.2,10.97,13.2,14.24,2.65914,1.2373800000000001,1.3066300000000002,2.62748,0.9315599999999999,0.5632699999999999,0.51338,3.57623,3.7161999999999997,9.5974
20220131,13.76,15.35,11.54,10.97,13.27,11.63,14.88,11.13,13.45,14.58,2.68443,1.24925,1.32922,2.71691,0.889,0.5632699999999999,0.64259,3.4935,3.68358,9.62404
20220201,13.61,15.49,11.75,10.72,13.1,11.75,14.85,11.01,13.42,14.34,2.76871,1.24925,1.32922,2.96922,0.889,0.5491900000000001,0.68911,3.36709,3.7637600000000004,9.62404
