일자,"2013년
27.4 ℃
84.3 톤
PCC 0.572
온도 (℃)","2014년
27.2 ℃
104.3 톤
PCC 0.543
온도 (℃)","2015년
27.5 ℃
162.0 톤
PCC 0.589
온도 (℃)","2016년
26.5 ℃
263.2 톤
PCC 0.667
온도 (℃)","2017년
26.7 ℃
129.9 톤
PCC 0.621
온도 (℃)","2018년
25.7 ℃
121.3 톤
PCC 0.664
온도 (℃)","2019년
26.4 ℃
150.0 톤
PCC 0.615
온도 (℃)","2020년
26.4 ℃
136.5 톤
PCC 0.582
온도 (℃)","2021년
26.6 ℃
205.9 톤
PCC 0.479
온도 (℃)","2022년
25.8 ℃
219.7 톤
PCC 0.373
온도 (℃)","2013년
27.4 ℃
84.3 톤
PCC 0.572
거래물량 (톤)","2014년
27.2 ℃
104.3 톤
PCC 0.543
거래물량 (톤)","2015년
27.5 ℃
162.0 톤
PCC 0.589
거래물량 (톤)","2016년
26.5 ℃
263.2 톤
PCC 0.667
거래물량 (톤)","2017년
26.7 ℃
129.9 톤
PCC 0.621
거래물량 (톤)","2018년
25.7 ℃
121.3 톤
PCC 0.664
거래물량 (톤)","2019년
26.4 ℃
150.0 톤
PCC 0.615
거래물량 (톤)","2020년
26.4 ℃
136.5 톤
PCC 0.582
거래물량 (톤)","2021년
26.6 ℃
205.9 톤
PCC 0.479
거래물량 (톤)","2022년
25.8 ℃
219.7 톤
PCC 0.373
거래물량 (톤)"
20220101,-2.2,6.62,3.67,7.35,7.37,5.13,5.03,7.5,5.83,8.02,,0.91852,0.81923,1.69265,2.79236,1.7260799999999998,0.88642,2.48812,3.91885,5.21335
20220102,-1.45,6.6,3.67,7.41,7.38,5.04,4.71,7.45,5.45,7.95,,0.93245,0.8239500000000001,1.72595,2.8337600000000003,1.71017,0.88642,2.30208,3.95936,5.20068
20220103,-3.03,6.59,3.68,7.62,7.37,4.75,4.45,7.44,5.18,7.78,2.43,0.93376,0.7942899999999999,1.72595,2.8337600000000003,1.68032,0.91374,2.23292,3.79842,5.18684
20220104,-2.8,6.45,3.96,7.71,7.42,4.63,4.09,7.36,5.11,7.75,1.275,0.88424,0.825,1.70959,2.7185900000000003,1.637,0.9158200000000001,2.20608,3.7843299999999997,5.252800000000001
20220105,-2.14,6.28,4.25,7.55,7.1,4.76,4.11,7.49,4.9,7.51,1.39,0.88424,0.88524,1.74618,2.70281,1.62048,0.8990900000000001,2.25332,3.84158,5.17785
20220106,-1.33,6.2,4.38,7.44,7.12,4.75,4.15,7.42,4.55,7.31,1.39,0.88638,1.01357,1.74287,2.56448,1.41,0.868,2.18692,3.74104,5.31235
20220107,-0.81,6.13,4.29,7.25,7.29,4.57,4.22,7.39,4.08,7.1,1.54875,0.85524,1.01357,1.6372200000000001,2.37257,1.4321700000000002,0.8979,2.3258,3.5948,5.232270000000001
20220108,-0.4,5.94,4.27,6.98,7.39,4.63,4.38,7.55,3.62,6.91,1.54875,0.8545499999999999,1.0341900000000002,1.63552,2.4309000000000003,1.3031199999999998,0.7542000000000001,2.30604,3.4769200000000002,5.33692
20220109,-0.52,5.66,4.23,6.86,7.34,4.53,4.48,7.4,3.14,6.83,2.271,0.88571,1.1099,1.6194300000000001,1.9636,1.2800799999999999,0.7542000000000001,2.35146,3.49524,5.261520000000001
20220110,-0.65,5.55,4.25,6.86,7.26,4.16,4.43,7.31,2.73,6.77,2.635,0.88571,1.12738,1.66941,2.02747,1.2800799999999999,0.7323,2.41123,3.54717,5.23032
20220111,-0.39,5.51,4.3,6.67,7.14,3.99,4.69,7,2.3,6.45,2.92571,0.83905,1.17125,1.52759,2.02747,1.21275,0.72284,2.61496,3.56138,5.51184
20220112,0.39,5.47,4.35,6.45,7.1,3.92,4.85,6.99,2.14,6.13,2.61938,0.83905,1.30965,1.55009,1.90389,1.21733,0.71547,2.67164,3.57108,5.553229999999999
20220113,0.56,5.41,4.57,6.1,6.9,4.09,4.91,6.85,2.36,5.98,2.61938,0.82048,1.30965,1.50009,1.84389,1.17496,0.72256,2.62788,3.46312,5.65654
20220114,0.88,5.35,4.61,5.98,6.63,4.22,4.99,6.72,2.8,5.75,2.72,0.82048,1.3111,1.36357,1.84389,1.14145,0.7404700000000001,2.70412,3.53436,5.66392
20220115,1.07,5.36,4.78,5.83,6.49,4.46,5.09,6.47,3.35,5.48,2.4515,0.82605,1.27524,1.6781300000000001,1.75583,1.0818599999999998,0.7167100000000001,2.72996,3.45,5.837149999999999
20220116,1.21,5.47,4.91,5.86,6.54,4.7,4.94,6.26,3.58,5.28,2.4383600000000003,0.87627,1.36476,1.60941,1.67594,1.0753199999999998,0.7167100000000001,2.79554,3.55896,5.78424
20220117,1.12,5.47,5.14,5.92,6.32,4.97,4.85,6.11,3.49,5.14,2.2685,0.8901399999999999,1.3175,1.60941,1.59517,1.0753199999999998,0.67871,2.86777,3.54442,5.805359999999999
20220118,1.22,5.31,5.33,5.8,6.21,5,4.81,6.1,3.43,5.1,2.34377,0.899,1.3175,1.5738599999999998,1.527,1.03671,0.66518,3.05535,3.4376700000000002,6.27208
20220119,1.51,5.4,5.53,5.38,6.22,5.01,4.65,6.14,3.53,5.12,2.39993,0.87419,1.30395,2.01023,1.32126,0.9924299999999999,0.6709400000000001,3.101,3.3900799999999998,6.19546
20220120,1.75,5.5,5.57,5.22,5.85,5.07,4.51,6.22,3.64,4.85,2.39993,0.90967,1.25577,1.9541300000000001,1.38232,0.97965,0.59338,3.3208800000000003,3.3152399999999997,6.67738
20220121,1.77,5.33,5.63,4.84,5.77,5.15,4.4,6.28,3.75,4.55,2.70507,0.9222899999999999,1.25577,2.01795,1.4157,1.00047,0.56338,3.4891199999999998,3.4332399999999996,6.70746
20220122,1.77,5.23,5.66,4.7,5.29,5.15,4.28,6.14,3.81,4.45,2.64231,0.944,1.24786,2.03768,1.33879,0.8616699999999999,0.49638,3.56727,3.3207600000000004,7.38562
20220123,1.77,5.32,5.66,4.33,5.08,4.85,4.28,6.07,3.82,4.52,2.6598200000000003,0.84409,1.2735,1.9886400000000002,1.25963,0.8658899999999999,0.49638,3.59512,3.3836,7.257560000000001
20220124,2,5.49,5.69,3.74,5.02,4.43,4.41,6.22,3.88,4.42,2.68344,0.8665900000000001,1.31079,2.026,1.331,0.8658899999999999,0.52775,3.62336,3.27412,7.351
20220125,1.88,5.61,5.72,3.55,4.86,4.17,4.41,6.16,4.15,4.57,2.62158,1.00682,1.36444,1.98786,1.31725,0.68835,0.499,3.66808,3.27638,8.16876
20220126,1.78,5.64,5.93,3.3,4.98,3.88,4.28,6.3,4.12,4.95,2.62158,1.01024,1.4,2.2794499999999998,1.08725,0.71294,0.47625,3.72526,3.42829,8.1415
20220127,1.68,5.92,5.92,3.42,5.09,3.99,4.55,6.35,4.21,5.12,2.62158,1.12619,1.4797799999999999,2.35557,1.1223699999999999,0.68325,0.45693,3.79595,3.44612,8.94142
20220128,1.8,6.22,5.86,3.43,5.2,3.92,4.92,6.47,4.11,5.06,2.59675,1.16881,1.46505,2.66796,1.14028,0.61933,0.45013,3.80548,3.68148,9.03042
20220129,2.07,6.44,5.62,3.35,5.36,3.6,5.27,6.65,3.66,4.9,2.5954800000000002,1.2043199999999998,1.414,2.6629099999999997,1.1544100000000002,0.59873,0.46,3.65995,3.55788,9.491959999999999
20220130,2.4,6.61,5.37,3.33,5.32,3.45,5.64,6.67,3.96,4.96,2.65914,1.2373800000000001,1.3066300000000002,2.62748,0.9315599999999999,0.5632699999999999,0.51338,3.57623,3.7161999999999997,9.5974
20220131,2.78,6.68,5.38,3.29,5.29,3.44,5.67,6.98,4.35,5.21,2.68443,1.24925,1.32922,2.71691,0.889,0.5632699999999999,0.64259,3.4935,3.68358,9.62404
20220201,3.25,6.81,5.41,3.1,5.09,3.42,5.75,7.06,4.7,5.18,2.76871,1.24925,1.32922,2.96922,0.889,0.5491900000000001,0.68911,3.36709,3.7637600000000004,9.62404
20220202,3.61,7.08,5.64,2.82,4.98,3.33,5.96,7.17,4.89,5.14,2.66276,1.24925,1.29505,3.27654,0.889,0.5619400000000001,0.71311,3.50241,4.0558499999999995,9.62404
20220203,3.89,7.01,5.77,2.52,4.93,3.21,6.04,7.16,5.06,5.13,2.67246,1.26447,1.34617,3.63192,0.83931,0.53513,0.71345,3.62567,4.08333,9.92135
20220204,4.12,6.74,5.63,2.39,4.97,3.01,6.07,7.15,5.07,5.05,3.0626700000000002,1.3258299999999998,1.3163699999999998,4.03196,0.87527,0.53136,0.71345,3.69825,4.371779999999999,9.655569999999999
20220205,4.11,6.56,5.55,2.43,5.04,2.77,6.27,6.91,5.31,4.93,3.06808,1.3258299999999998,1.2221600000000001,4.209359999999999,0.87527,0.45346,0.74574,3.5618600000000002,4.2691099999999995,9.70913
20220206,4.14,6.48,5.64,2.38,4.93,2.48,6.51,7,5.83,4.81,3.16028,1.3744100000000001,1.1103299999999998,4.32876,0.8704700000000001,0.58946,0.74574,3.50367,4.70574,9.81932
20220207,4.1,6.37,5.82,2.4,4.93,2.38,6.61,6.94,6.35,4.62,3.28564,1.44781,1.1103299999999998,4.47996,0.8528,0.64736,0.74574,3.2735700000000003,4.61359,9.89632
20220208,3.96,6.35,5.82,2.57,4.69,2.42,6.63,6.68,6.72,4.6,3.22269,1.4140599999999999,1.0256500000000002,4.59648,0.81938,0.68443,0.7826799999999999,3.25133,4.90552,9.78155
20220209,4.01,6.47,5.75,2.6,4.45,2.65,6.53,6.72,7.12,4.63,3.1452,1.4140599999999999,0.9321200000000001,4.6949499999999995,0.8248099999999999,0.77636,0.7690499999999999,3.2272,5.107069999999999,9.37591
20220210,4.24,6.48,5.82,2.72,4.27,2.93,6.57,6.84,7.47,4.62,3.09062,1.34853,0.97388,4.6949499999999995,0.84424,0.97373,0.79868,3.23611,5.04275,9.41117
20220211,4.29,6.47,5.93,2.98,4.24,3.09,6.44,7.12,7.91,4.89,3.02196,1.38625,1.05617,4.88995,0.81289,0.97373,0.79868,2.90153,5.03886,9.0483
20220212,4.06,6.49,5.9,3.27,4.16,3.18,6.4,7.16,8.34,5.32,3.13773,1.38625,1.1300599999999998,5.004449999999999,0.82382,1.11947,0.81839,2.90153,5.13741,8.948129999999999
20220213,4.15,6.63,5.82,3.66,4.25,3.26,6.34,7.48,8.55,5.71,3.0206500000000003,1.451,1.28268,5.24679,0.84335,1.22575,0.81839,2.9355,5.30146,9.07268
20220214,4.27,6.65,6.02,3.99,4.58,3.55,6.43,7.92,8.7,6.05,2.9977300000000002,1.3728099999999999,1.4632100000000001,5.498279999999999,0.84335,1.23571,0.79479,2.71989,5.31364,8.8275
20220215,4.34,6.85,6.03,3.82,5.01,3.42,6.43,8.35,8.47,5.92,3.13881,1.40147,1.52033,5.29406,0.82539,1.3033800000000002,0.8159400000000001,2.53411,5.2736,8.68023
20220216,4.39,6.99,5.97,3.71,5.45,3.36,6.51,8.45,8.47,5.69,3.1804,1.4083599999999998,1.71228,5.29406,0.80195,1.36813,0.79511,2.3703499999999997,5.19112,8.34665
20220217,4.57,7.05,6.08,3.85,5.62,3.28,6.57,8.28,8.38,5.56,3.3267399999999996,1.45015,1.8345,5.29406,0.80526,1.36813,0.81017,2.1895,4.9925,8.33117
20220218,4.74,7.11,6.05,4.14,5.58,3.26,6.61,8.19,8.2,5.73,3.17953,1.40285,1.76953,5.58744,0.8050499999999999,1.36813,0.81333,1.92027,5.007350000000001,7.6500900000000005
20220219,4.67,7.17,6.16,4.6,5.71,3.46,6.48,8.29,8.56,5.73,3.18228,1.40285,1.8545,5.296600000000001,0.80533,1.45043,0.81733,1.92027,4.9025,7.59035
20220220,4.59,7.3,6.35,4.98,6,3.54,6.5,8.51,8.97,5.58,3.0279499999999997,1.371,1.9503499999999998,5.6235,0.7364400000000001,1.45043,0.79826,1.53521,4.96631,7.15264
20220221,4.69,7.58,6.41,5.21,6.15,3.47,6.57,8.87,9.47,5.57,2.70811,1.27183,1.9503499999999998,5.6235,0.65918,1.45043,0.83817,1.11557,4.90756,6.879449999999999
20220222,4.79,7.82,6.68,5.45,6.29,3.43,6.62,9.14,9.87,5.38,2.64589,1.26018,1.9503499999999998,5.646,0.63322,1.45043,0.86441,0.7766900000000001,4.8608,6.00464
20220223,4.79,7.91,6.79,5.84,6.52,3.77,6.71,9.25,9.83,5.01,2.49905,1.3392,1.9503499999999998,5.73386,0.52378,1.5401500000000001,0.86441,0.6210800000000001,4.77696,5.752260000000001
20220224,4.82,7.94,6.86,6.25,6.67,4.39,6.92,9.49,9.8,4.94,2.4665,1.1732,1.9503499999999998,5.5196000000000005,0.41456,1.5401500000000001,0.8745599999999999,0.6210800000000001,4.77696,5.42948
20220225,5.19,8.09,7.08,6.48,6.89,4.96,7.18,9.41,9.65,5.16,2.5228800000000002,0.92611,1.85033,5.59893,0.36972000000000005,1.5401500000000001,0.8855299999999999,0.6210800000000001,4.70128,4.34648
20220226,5.53,8.13,7.06,6.57,6.98,5.55,7.53,9.52,9.88,5.4,2.5228800000000002,0.8555,1.79756,5.08873,0.37382,1.5463099999999999,0.9282100000000001,0.59177,4.402,4.08352
20220227,6,8.37,7.08,6.7,7.14,6,7.65,9.68,9.97,5.56,2.4013299999999997,0.63222,1.7493299999999998,4.833399999999999,0.35994,1.5463099999999999,0.9282100000000001,0.59177,4.3174399999999995,3.22668
