일자,"2013년
15.4 ℃
84.3 톤
PCC 0.619
온도 (℃)","2014년
14.7 ℃
104.3 톤
PCC 0.671
온도 (℃)","2015년
13.1 ℃
162.0 톤
PCC 0.685
온도 (℃)","2016년
17.1 ℃
263.2 톤
PCC 0.722
온도 (℃)","2017년
13.5 ℃
129.9 톤
PCC 0.745
온도 (℃)","2018년
15.2 ℃
121.3 톤
PCC 0.730
온도 (℃)","2019년
16.5 ℃
150.0 톤
PCC 0.733
온도 (℃)","2020년
16.1 ℃
136.5 톤
PCC 0.657
온도 (℃)","2021년
16.8 ℃
205.9 톤
PCC 0.563
온도 (℃)","2022년
15.4 ℃
219.7 톤
PCC 0.505
온도 (℃)","2013년
15.4 ℃
84.3 톤
PCC 0.619
거래물량 (톤)","2014년
14.7 ℃
104.3 톤
PCC 0.671
거래물량 (톤)","2015년
13.1 ℃
162.0 톤
PCC 0.685
거래물량 (톤)","2016년
17.1 ℃
263.2 톤
PCC 0.722
거래물량 (톤)","2017년
13.5 ℃
129.9 톤
PCC 0.745
거래물량 (톤)","2018년
15.2 ℃
121.3 톤
PCC 0.730
거래물량 (톤)","2019년
16.5 ℃
150.0 톤
PCC 0.733
거래물량 (톤)","2020년
16.1 ℃
136.5 톤
PCC 0.657
거래물량 (톤)","2021년
16.8 ℃
205.9 톤
PCC 0.563
거래물량 (톤)","2022년
15.4 ℃
219.7 톤
PCC 0.505
거래물량 (톤)"
20220101,-14.5,-5.7,-6.37,-3.42,-4.95,-7.25,-7.64,-5.85,-7.65,-6.19,,0.91852,0.81923,1.69265,2.79236,1.7260799999999998,0.88642,2.48812,3.91885,5.21335
20220102,-14,-5.68,-6.48,-3.58,-4.87,-7.27,-7.88,-6.19,-7.71,-6.34,,0.93245,0.8239500000000001,1.72595,2.8337600000000003,1.71017,0.88642,2.30208,3.95936,5.20068
20220103,-15.4,-5.84,-6.71,-3.75,-4.77,-7.28,-8.5,-6.25,-7.83,-6.8,2.43,0.93376,0.7942899999999999,1.72595,2.8337600000000003,1.68032,0.91374,2.23292,3.79842,5.18684
20220104,-17,-5.89,-6.88,-3.87,-4.86,-7.44,-9.12,-6.48,-7.96,-6.9,1.275,0.88424,0.825,1.70959,2.7185900000000003,1.637,0.9158200000000001,2.20608,3.7843299999999997,5.252800000000001
20220105,-17.22,-6,-6.9,-4.13,-4.99,-7.35,-9.15,-6.65,-8.03,-6.99,1.39,0.88424,0.88524,1.74618,2.70281,1.62048,0.8990900000000001,2.25332,3.84158,5.17785
20220106,-16.55,-6.16,-6.87,-4.28,-4.89,-7.3,-9.54,-6.46,-8.3,-7.11,1.39,0.88638,1.01357,1.74287,2.56448,1.41,0.868,2.18692,3.74104,5.31235
20220107,-16.26,-6.32,-6.83,-4.16,-4.79,-7.52,-9.72,-6.02,-8.66,-7.39,1.54875,0.85524,1.01357,1.6372200000000001,2.37257,1.4321700000000002,0.8979,2.3258,3.5948,5.232270000000001
20220108,-15.88,-6.25,-7,-4.25,-4.51,-7.36,-9.68,-5.68,-9.03,-7.65,1.54875,0.8545499999999999,1.0341900000000002,1.63552,2.4309000000000003,1.3031199999999998,0.7542000000000001,2.30604,3.4769200000000002,5.33692
20220109,-14.99,-6.47,-6.93,-4.35,-4.55,-7.29,-9.74,-5.53,-9.35,-7.68,2.271,0.88571,1.1099,1.6194300000000001,1.9636,1.2800799999999999,0.7542000000000001,2.35146,3.49524,5.261520000000001
20220110,-14.78,-6.79,-6.97,-4.65,-4.48,-7.43,-9.54,-5.62,-9.87,-7.92,2.635,0.88571,1.12738,1.66941,2.02747,1.2800799999999999,0.7323,2.41123,3.54717,5.23032
20220111,-14.95,-6.93,-7.17,-4.87,-4.35,-7.57,-9.55,-5.73,-10.27,-8.28,2.92571,0.83905,1.17125,1.52759,2.02747,1.21275,0.72284,2.61496,3.56138,5.51184
20220112,-14.6,-6.93,-7.34,-5.13,-4.32,-7.7,-9.34,-5.57,-10.5,-8.66,2.61938,0.83905,1.30965,1.55009,1.90389,1.21733,0.71547,2.67164,3.57108,5.553229999999999
20220113,-14.08,-7.13,-7.55,-5.35,-4.52,-7.7,-9.18,-5.38,-10.57,-8.72,2.61938,0.82048,1.30965,1.50009,1.84389,1.17496,0.72256,2.62788,3.46312,5.65654
20220114,-13.75,-7.37,-7.38,-5.64,-4.58,-7.57,-9.12,-5.38,-10.55,-8.78,2.72,0.82048,1.3111,1.36357,1.84389,1.14145,0.7404700000000001,2.70412,3.53436,5.66392
20220115,-13.58,-7.52,-7.36,-6.11,-4.81,-7.37,-8.83,-5.5,-10.49,-9.02,2.4515,0.82605,1.27524,1.6781300000000001,1.75583,1.0818599999999998,0.7167100000000001,2.72996,3.45,5.837149999999999
20220116,-13.26,-7.59,-7.36,-6.27,-4.85,-7.35,-8.86,-5.65,-10.36,-9.33,2.4383600000000003,0.87627,1.36476,1.60941,1.67594,1.0753199999999998,0.7167100000000001,2.79554,3.55896,5.78424
20220117,-13.09,-7.73,-7.28,-6.16,-5.12,-7.02,-8.89,-5.8,-10.2,-9.35,2.2685,0.8901399999999999,1.3175,1.60941,1.59517,1.0753199999999998,0.67871,2.86777,3.54442,5.805359999999999
20220118,-13.15,-7.86,-7.33,-6.03,-5.18,-6.73,-9.06,-5.98,-10.14,-9.28,2.34377,0.899,1.3175,1.5738599999999998,1.527,1.03671,0.66518,3.05535,3.4376700000000002,6.27208
20220119,-13.05,-8.2,-6.97,-6.18,-5.49,-6.6,-9.06,-6.09,-10.26,-9.55,2.39993,0.87419,1.30395,2.01023,1.32126,0.9924299999999999,0.6709400000000001,3.101,3.3900799999999998,6.19546
20220120,-12.78,-8.23,-7.1,-6.42,-5.78,-6.48,-9.09,-5.99,-10.35,-9.74,2.39993,0.90967,1.25577,1.9541300000000001,1.38232,0.97965,0.59338,3.3208800000000003,3.3152399999999997,6.67738
20220121,-12.16,-8.36,-7.06,-6.65,-6.25,-6.42,-9.18,-6,-10.29,-10.05,2.70507,0.9222899999999999,1.25577,2.01795,1.4157,1.00047,0.56338,3.4891199999999998,3.4332399999999996,6.70746
20220122,-12.16,-8.47,-6.75,-6.9,-6.62,-6.17,-9.33,-5.9,-9.95,-10.16,2.64231,0.944,1.24786,2.03768,1.33879,0.8616699999999999,0.49638,3.56727,3.3207600000000004,7.38562
20220123,-12.16,-8.62,-6.59,-7.31,-6.98,-6.22,-9.59,-5.67,-9.58,-9.93,2.6598200000000003,0.84409,1.2735,1.9886400000000002,1.25963,0.8658899999999999,0.49638,3.59512,3.3836,7.257560000000001
20220124,-11.8,-8.64,-6.68,-7.81,-7.28,-6.59,-9.65,-5.59,-9.49,-9.75,2.68344,0.8665900000000001,1.31079,2.026,1.331,0.8658899999999999,0.52775,3.62336,3.27412,7.351
20220125,-11.64,-8.43,-6.71,-7.96,-7.53,-7.03,-9.62,-5.28,-9.36,-9.47,2.62158,1.00682,1.36444,1.98786,1.31725,0.68835,0.499,3.66808,3.27638,8.16876
20220126,-11.54,-8.59,-6.3,-8.13,-8.02,-7.31,-9.89,-5.37,-9.03,-9.19,2.62158,1.01024,1.4,2.2794499999999998,1.08725,0.71294,0.47625,3.72526,3.42829,8.1415
