일자,"2013년
70.0 %
0.0 톤
PCC -0.641
습도 (%)","2014년
72.5 %
0.0 톤
PCC -0.292
습도 (%)","2015년
62.5 %
0.1 톤
PCC -0.364
습도 (%)","2016년
80.8 %
0.1 톤
PCC -0.523
습도 (%)","2017년
78.9 %
0.1 톤
PCC -0.549
습도 (%)","2018년
75.3 %
0.0 톤
PCC -0.403
습도 (%)","2019년
83.1 %
0.1 톤
PCC -0.520
습도 (%)","2020년
74.5 %
0.1 톤
PCC -0.430
습도 (%)","2021년
69.9 %
1.1 톤
PCC -0.506
습도 (%)","2022년
59.2 %
0.1 톤
PCC -0.479
습도 (%)","2013년
70.0 %
0.0 톤
PCC -0.641
거래물량 (톤)","2014년
72.5 %
0.0 톤
PCC -0.292
거래물량 (톤)","2015년
62.5 %
0.1 톤
PCC -0.364
거래물량 (톤)","2016년
80.8 %
0.1 톤
PCC -0.523
거래물량 (톤)","2017년
78.9 %
0.1 톤
PCC -0.549
거래물량 (톤)","2018년
75.3 %
0.0 톤
PCC -0.403
거래물량 (톤)","2019년
83.1 %
0.1 톤
PCC -0.520
거래물량 (톤)","2020년
74.5 %
0.1 톤
PCC -0.430
거래물량 (톤)","2021년
69.9 %
1.1 톤
PCC -0.506
거래물량 (톤)","2022년
59.2 %
0.1 톤
PCC -0.479
거래물량 (톤)"
20220101,63.5,39.75,50.75,57.75,63.75,47.65,48.6,42.2,56.6,37.2,,5.388,46.489,29.0575,56.82,,67.633,49.192,30.363,44.401
20220102,61.5,39.5,43.25,57.5,69.05,53.7,52.1,54,56.7,48.25,0.472,,0.036,2.405,1.042,0.358,,0.09,2.074,
20220103,48.75,44.75,43.25,61.75,54.95,48.5,45.05,58.85,46.4,59.95,18.6425,32.356,47.1755,,25.4985,26.6845,75.756,23.7255,0.289,42.186
20220104,40,46,46.75,53.5,49.1,34.1,44.05,62.55,47.15,52.05,35.07,31.9385,94.315,71.214,42.3825,42.434,63.4295,47.1155,102.279,38.6155
20220105,47.25,47,57.25,38.5,65.25,38.9,47.45,64.9,55.8,46.55,33.168,31.521,80.884,57.338,30.8245,29.7005,49.1785,46.87,83.183,30.6635
20220106,51,47.25,61.5,33,69.2,43.1,44.7,76.6,53.45,43.65,33.009,24.585,69.2645,39.0575,29.683,30.952,47.254,37.774,55.856,25.2575
20220107,49.25,51.25,23,34,71.15,54.7,46.15,93.2,49.65,45.7,36.77,25.056,52.834,89.372,36.033,34.36,55.894,33.814,43.734,19.13
20220108,48.25,56.75,26,37.25,78,74.95,45.2,83.4,47.7,52.7,35.358,24.356,49.4375,91.789,39.539,32.477,50.415,26.1205,43.8225,21.808
20220109,42.75,42.25,31.75,37.5,66.2,71.85,41.1,63.2,49.85,59.35,30.39,20.1425,56.3595,58.0505,32.621,27.275,42.705,20.401,48.689,29.589
20220110,37.5,34.5,35.75,37.75,49.6,65.2,43.8,63.75,57.15,66.95,26.385,19.3725,66.878,76.614,35.33,21.1955,40.19,22.451,49.576,30.941
20220111,43,47,43.75,36.5,40.3,63.55,54.6,67.45,68.1,57.4,28.504,23.552,71.889,36.22,35.1895,17.454,46.046,27.1605,45.144,29.1225
20220112,53.25,49.75,44,32.5,41.6,52.95,75.15,58.85,70.1,44.75,35.716,25.459,63.469,52.073,30.848,18.3055,56.2315,27.834,42.5715,24.823
20220113,60.5,38.25,45.25,38.25,46.35,57.2,82.25,55.85,63.95,44.15,40.36,25.352,60.819,104.3835,33.348,24.119,60.277,32.099,37.4155,20.985
20220114,58.75,32.25,54.5,48.5,40.5,70.85,73.35,58.6,60.55,40.15,37.162,24.528,52.931,144.318,39.771,26.217,56.811,31.9555,33.7005,23.113
20220115,57.25,35,54.5,52.5,31.95,73.3,63.15,59.15,62.4,43.3,36.7885,12.3805,44.6725,160.504,42.202,23.055,53.6185,25.989,35.601,27.3155
20220116,62.25,41.25,58.75,53.25,32.35,82.15,46.15,58.55,57.1,53.15,33.477,9.3935,43.1305,191.31,32.39,21.0735,47.126,18.731,44.9915,28.033
20220117,55.5,49.75,49.75,52,43.95,92.5,43.05,53.2,45.3,51.75,29.3055,19.979,46.971,209.407,30.1855,17.715,41.073,20.7825,51.35,26.882
20220118,44.75,49.75,35.25,62,50.5,80.55,48.1,44.75,54.1,40.6,30.8145,24.4955,49.333,166.555,28.3005,15.148,42.415,26.8335,56.767,25.0225
20220119,49,46,40.75,56.5,52.4,66.8,53.65,51.1,58.15,43.75,36.9495,26.763,45.424,156.2535,24.3455,18.2995,47.07,29.398,52.5985,19.986
20220120,60.5,50.5,48.25,42.75,55.65,63.6,57.1,55,59.35,53.1,40.342,22.792,43.7885,129.2605,22.358,24.431,47.63,24.624,45.1605,16.518
20220121,71.25,53.5,58.75,32.75,55.55,62.65,48.35,47.6,74,55.5,42.642,22.4855,41.6175,106.4975,26.725,26.221,45.537,20.937,39.4915,20.385
20220122,78.25,46.5,71.25,26.75,51.1,62.25,43.75,58.6,87.5,58.95,40.7415,19.804,38.157,114.496,28.805,21.108,41.14,16.7485,41.776,24.84
20220123,79.5,46.25,70.75,30,44.9,53.55,45.5,81.9,95,62.15,34.6885,17.2605,39.387,140.02,23.562,19.922,34.378,23.986,48.674,25.137
