일자,"2013년
15.1 ℃
0.0 톤
PCC -0.655
온도 (℃)","2014년
13.9 ℃
0.0 톤
PCC -0.609
온도 (℃)","2015년
16.5 ℃
0.1 톤
PCC -0.553
온도 (℃)","2016년
15.6 ℃
0.1 톤
PCC -0.582
온도 (℃)","2017년
14.9 ℃
0.1 톤
PCC -0.656
온도 (℃)","2018년
10.8 ℃
0.0 톤
PCC -0.562
온도 (℃)","2019년
15.3 ℃
0.1 톤
PCC -0.687
온도 (℃)","2020년
11.2 ℃
0.1 톤
PCC -0.624
온도 (℃)","2021년
10.9 ℃
1.1 톤
PCC -0.686
온도 (℃)","2022년
9.2 ℃
0.1 톤
PCC -0.600
온도 (℃)","2013년
15.1 ℃
0.0 톤
PCC -0.655
거래물량 (톤)","2014년
13.9 ℃
0.0 톤
PCC -0.609
거래물량 (톤)","2015년
16.5 ℃
0.1 톤
PCC -0.553
거래물량 (톤)","2016년
15.6 ℃
0.1 톤
PCC -0.582
거래물량 (톤)","2017년
14.9 ℃
0.1 톤
PCC -0.656
거래물량 (톤)","2018년
10.8 ℃
0.0 톤
PCC -0.562
거래물량 (톤)","2019년
15.3 ℃
0.1 톤
PCC -0.687
거래물량 (톤)","2020년
11.2 ℃
0.1 톤
PCC -0.624
거래물량 (톤)","2021년
10.9 ℃
1.1 톤
PCC -0.686
거래물량 (톤)","2022년
9.2 ℃
0.1 톤
PCC -0.600
거래물량 (톤)"
20220101,-2.1,5,-1.5,1.8,3.25,3.5,-1.25,-1,-3,-2.25,,5.388,46.489,29.0575,56.82,,67.633,49.192,30.363,44.401
20220102,-2.2,5.2,-2.6,3.15,6.1,2,-0.15,1.8,-1.05,-1.8,0.472,,0.036,2.405,1.042,0.358,,0.09,2.074,
20220103,-4.35,3.55,-1.9,5.45,7.25,1,-0.45,3.6,-0.65,-1.25,18.6425,32.356,47.1755,,25.4985,26.6845,75.756,23.7255,0.289,42.186
20220104,-5.7,3.05,0.75,7,5.6,1.3,-0.65,2.8,-0.45,1.25,35.07,31.9385,94.315,71.214,42.3825,42.434,63.4295,47.1155,102.279,38.6155
20220105,-5.1,2.05,3.15,5.6,4.05,2.35,1.15,0.95,-0.2,1.85,33.168,31.521,80.884,57.338,30.8245,29.7005,49.1785,46.87,83.183,30.6635
20220106,-2.85,0.9,3,2.85,4.7,2.85,1.45,0.5,-2.6,1.65,33.009,24.585,69.2645,39.0575,29.683,30.952,47.254,37.774,55.856,25.2575
20220107,-1.45,0.85,0.4,2.7,4.3,-0.15,-0.5,4.35,-6.55,0.55,36.77,25.056,52.834,89.372,36.033,34.36,55.894,33.814,43.734,19.13
20220108,-2.15,1.65,0.4,2.9,4.65,0.7,0.9,7.2,-9.15,-1.55,35.358,24.356,49.4375,91.789,39.539,32.477,50.415,26.1205,43.8225,21.808
20220109,-2.2,-0.5,1.25,3.2,6.3,2.4,0.45,4.85,-9.1,1.7,30.39,20.1425,56.3595,58.0505,32.621,27.275,42.705,20.401,48.689,29.589
20220110,-3.2,-3.2,2.9,3.9,4.6,-1.2,0.3,1.95,-7.05,2.65,26.385,19.3725,66.878,76.614,35.33,21.1955,40.19,22.451,49.576,30.941
