일자,"2013년
12.7 ℃
0.0 톤
PCC 0.361
온도 (℃)","2014년
11.4 ℃
0.0 톤
PCC 0.226
온도 (℃)","2015년
16.2 ℃
0.1 톤
PCC 0.177
온도 (℃)","2016년
12.4 ℃
0.1 톤
PCC 0.172
온도 (℃)","2017년
12.2 ℃
0.1 톤
PCC 0.144
온도 (℃)","2018년
16.9 ℃
0.0 톤
PCC 0.176
온도 (℃)","2019년
13.3 ℃
0.1 톤
PCC 0.264
온도 (℃)","2020년
17.9 ℃
0.1 톤
PCC 0.262
온도 (℃)","2021년
13.2 ℃
1.1 톤
PCC 0.251
온도 (℃)","2022년
16.2 ℃
0.1 톤
PCC 0.333
온도 (℃)","2013년
12.7 ℃
0.0 톤
PCC 0.361
거래물량 (톤)","2014년
11.4 ℃
0.0 톤
PCC 0.226
거래물량 (톤)","2015년
16.2 ℃
0.1 톤
PCC 0.177
거래물량 (톤)","2016년
12.4 ℃
0.1 톤
PCC 0.172
거래물량 (톤)","2017년
12.2 ℃
0.1 톤
PCC 0.144
거래물량 (톤)","2018년
16.9 ℃
0.0 톤
PCC 0.176
거래물량 (톤)","2019년
13.3 ℃
0.1 톤
PCC 0.264
거래물량 (톤)","2020년
17.9 ℃
0.1 톤
PCC 0.262
거래물량 (톤)","2021년
13.2 ℃
1.1 톤
PCC 0.251
거래물량 (톤)","2022년
16.2 ℃
0.1 톤
PCC 0.333
거래물량 (톤)"
20220101,12.1,9.2,6.65,11.8,13.4,6.9,12.15,8.6,10.35,10.7,,5.388,46.489,29.0575,56.82,,67.633,49.192,30.363,44.401
20220102,12.05,9.2,4.65,14.9,14,11.55,7.65,11.2,8.3,15.15,0.472,,0.036,2.405,1.042,0.358,,0.09,2.074,
20220103,9.1,14.9,10.5,15.8,12.25,10.8,11.3,10.65,6.7,15.75,18.6425,32.356,47.1755,,25.4985,26.6845,75.756,23.7255,0.289,42.186
20220104,10.8,15.15,16.85,13.35,12.8,7.9,14.4,11.8,10.8,14.05,35.07,31.9385,94.315,71.214,42.3825,42.434,63.4295,47.1155,102.279,38.6155
20220105,15.45,14.4,16.45,9.35,13.1,6.6,14.3,14.8,11.4,10.1,33.168,31.521,80.884,57.338,30.8245,29.7005,49.1785,46.87,83.183,30.6635
20220106,14.05,15.6,15.3,8.55,11,8.25,14.05,12.45,10.15,10.65,33.009,24.585,69.2645,39.0575,29.683,30.952,47.254,37.774,55.856,25.2575
20220107,13.55,16.2,6.4,7,11,11.75,14.55,10.8,11,15.95,36.77,25.056,52.834,89.372,36.033,34.36,55.894,33.814,43.734,19.13
20220108,14.25,11.3,8.35,5,10.6,8.75,10.85,12.55,10.05,19.45,35.358,24.356,49.4375,91.789,39.539,32.477,50.415,26.1205,43.8225,21.808
20220109,10.05,6.05,7.65,5.15,8.4,4.65,9.65,10.3,11.3,16,30.39,20.1425,56.3595,58.0505,32.621,27.275,42.705,20.401,48.689,29.589
20220110,8.25,9.45,6.2,6.55,6.15,5.25,11.1,11.6,11.25,14.25,26.385,19.3725,66.878,76.614,35.33,21.1955,40.19,22.451,49.576,30.941
20220111,14.2,10.75,9.15,8.05,6.35,6.35,12.3,13.15,8.7,12.6,28.504,23.552,71.889,36.22,35.1895,17.454,46.046,27.1605,45.144,29.1225
20220112,16.65,9,11.35,9.7,7.45,6.55,10.55,7.75,10.65,9.35,35.716,25.459,63.469,52.073,30.848,18.3055,56.2315,27.834,42.5715,24.823
20220113,11.8,9.45,14.45,7.65,7.45,10.4,10.7,4.35,15,7.9,40.36,25.352,60.819,104.3835,33.348,24.119,60.277,32.099,37.4155,20.985
20220114,11.75,12.55,11.5,6.25,6.5,14.95,15.5,7.2,15.6,8.85,37.162,24.528,52.931,144.318,39.771,26.217,56.811,31.9555,33.7005,23.113
20220115,14.4,12.95,9.65,10.65,9.15,16.3,13.6,9.65,17.9,13.5,36.7885,12.3805,44.6725,160.504,42.202,23.055,53.6185,25.989,35.601,27.3155
20220116,13.6,13.1,12.7,13.35,14.45,12.5,10.15,11.65,15.6,12.1,33.477,9.3935,43.1305,191.31,32.39,21.0735,47.126,18.731,44.9915,28.033
20220117,9.45,13.55,9.2,13.9,15.6,8.4,7.85,12.8,8.4,7.75,29.3055,19.979,46.971,209.407,30.1855,17.715,41.073,20.7825,51.35,26.882
20220118,9.65,9.25,10.6,9.2,14.55,9.8,9.9,12.7,7.8,9.4,30.8145,24.4955,49.333,166.555,28.3005,15.148,42.415,26.8335,56.767,25.0225
