일자,"2013년
21.5 ℃
0.0 톤
PCC -0.590
온도 (℃)","2014년
19.6 ℃
0.0 톤
PCC -0.556
온도 (℃)","2015년
24.5 ℃
0.1 톤
PCC -0.498
온도 (℃)","2016년
23.1 ℃
0.1 톤
PCC -0.555
온도 (℃)","2017년
22.3 ℃
0.1 톤
PCC -0.639
온도 (℃)","2018년
21.2 ℃
0.0 톤
PCC -0.537
온도 (℃)","2019년
24.1 ℃
0.1 톤
PCC -0.644
온도 (℃)","2020년
21.8 ℃
0.1 톤
PCC -0.579
온도 (℃)","2021년
18.7 ℃
1.1 톤
PCC -0.666
온도 (℃)","2022년
18.1 ℃
0.1 톤
PCC -0.554
온도 (℃)","2013년
21.5 ℃
0.0 톤
PCC -0.590
거래물량 (톤)","2014년
19.6 ℃
0.0 톤
PCC -0.556
거래물량 (톤)","2015년
24.5 ℃
0.1 톤
PCC -0.498
거래물량 (톤)","2016년
23.1 ℃
0.1 톤
PCC -0.555
거래물량 (톤)","2017년
22.3 ℃
0.1 톤
PCC -0.639
거래물량 (톤)","2018년
21.2 ℃
0.0 톤
PCC -0.537
거래물량 (톤)","2019년
24.1 ℃
0.1 톤
PCC -0.644
거래물량 (톤)","2020년
21.8 ℃
0.1 톤
PCC -0.579
거래물량 (톤)","2021년
18.7 ℃
1.1 톤
PCC -0.666
거래물량 (톤)","2022년
18.1 ℃
0.1 톤
PCC -0.554
거래물량 (톤)"
20220101,3.9,9.6,1.85,7.7,10.45,6.3,5.35,3.25,2.75,4.1,,5.388,46.489,29.0575,56.82,,67.633,49.192,30.363,44.401
20220102,3.8,9.75,-0.3,10.6,12.25,7.05,3.75,6.8,3.35,6.5,0.472,,0.036,2.405,1.042,0.358,,0.09,2.074,
20220103,0.2,10.95,3.35,13.35,12.2,6.2,6.25,8.6,3.3,7.35,18.6425,32.356,47.1755,,25.4985,26.6845,75.756,23.7255,0.289,42.186
20220104,-0.3,10.6,9.2,13.7,11.85,5.6,7.2,8.55,5.75,8.15,35.07,31.9385,94.315,71.214,42.3825,42.434,63.4295,47.1155,102.279,38.6155
20220105,2.6,9.25,11.4,10.25,10.45,6,7.4,9.1,5.65,6.25,33.168,31.521,80.884,57.338,30.8245,29.7005,49.1785,46.87,83.183,30.6635
20220106,4.15,8.7,10.7,7.1,10.3,6.65,8.7,7.45,2.6,6.3,33.009,24.585,69.2645,39.0575,29.683,30.952,47.254,37.774,55.856,25.2575
20220107,5.3,8.95,3.6,6.2,9.9,5.65,7.9,10.95,-0.4,9,36.77,25.056,52.834,89.372,36.033,34.36,55.894,33.814,43.734,19.13
20220108,4.95,7.3,4.55,5.4,10.85,5.25,6.35,16.1,-3.6,9.8,35.358,24.356,49.4375,91.789,39.539,32.477,50.415,26.1205,43.8225,21.808
20220109,2.85,2.55,5.05,5.75,10.75,4.55,5.65,11.3,-3.15,9.75,30.39,20.1425,56.3595,58.0505,32.621,27.275,42.705,20.401,48.689,29.589
20220110,0.95,1.55,6,7.15,7.15,1.75,6.1,8.3,-1.2,9.65,26.385,19.3725,66.878,76.614,35.33,21.1955,40.19,22.451,49.576,30.941
20220111,3,4.35,7,7.35,4.9,-1.35,8.1,9.05,-1,6.5,28.504,23.552,71.889,36.22,35.1895,17.454,46.046,27.1605,45.144,29.1225
20220112,6.5,5.4,6.35,5.95,5,-2.95,8.75,6.8,1.5,2.85,35.716,25.459,63.469,52.073,30.848,18.3055,56.2315,27.834,42.5715,24.823
20220113,5.4,4.5,7.35,3.95,5.7,1,9.5,4.25,7.95,0.65,40.36,25.352,60.819,104.3835,33.348,24.119,60.277,32.099,37.4155,20.985
20220114,5.15,4.3,7,3.3,2.15,5.85,10.95,4.85,12,2.15,37.162,24.528,52.931,144.318,39.771,26.217,56.811,31.9555,33.7005,23.113
20220115,7.05,4.95,8.55,5.15,1.6,10,9.35,5.6,14.4,7.5,36.7885,12.3805,44.6725,160.504,42.202,23.055,53.6185,25.989,35.601,27.3155
20220116,6.9,6.05,9.5,7.65,5.45,9.45,5.7,6.35,11.35,7.65,33.477,9.3935,43.1305,191.31,32.39,21.0735,47.126,18.731,44.9915,28.033
20220117,4.15,6.95,5.75,9,6.5,7.75,4.15,8.35,3.6,4.35,29.3055,19.979,46.971,209.407,30.1855,17.715,41.073,20.7825,51.35,26.882
20220118,3.15,5.6,5.75,4.2,6.85,9.6,7.5,9.25,2.3,3.85,30.8145,24.4955,49.333,166.555,28.3005,15.148,42.415,26.8335,56.767,25.0225
20220119,6.1,4.85,6.85,-0.05,8.2,10.45,11.2,8.5,4.35,5.9,36.9495,26.763,45.424,156.2535,24.3455,18.2995,47.07,29.398,52.5985,19.986
20220120,6.9,5.7,7.45,-2.5,5.3,9.95,8.75,7,7.25,6.45,40.342,22.792,43.7885,129.2605,22.358,24.431,47.63,24.624,45.1605,16.518
20220121,6.4,3.3,6.45,0.2,2.2,9.4,6.45,6.75,10.2,6.4,42.642,22.4855,41.6175,106.4975,26.725,26.221,45.537,20.937,39.4915,20.385
20220122,6.35,2.55,5.35,2.5,2.15,9.5,8.7,5.3,10.85,8.65,40.7415,19.804,38.157,114.496,28.805,21.108,41.14,16.7485,41.776,24.84
20220123,7,6.8,7.45,1.25,0.25,6,9.95,6.85,10.05,11.35,34.6885,17.2605,39.387,140.02,23.562,19.922,34.378,23.986,48.674,25.137
20220124,6.9,11.1,8.9,-1.4,1.15,-0.9,11.15,11.8,10.35,9.65,29.517,18.8635,45.4165,151.474,23.495,17.994,32.413,30.66,50.888,23.889
20220125,3.45,12.05,7.65,0.3,4.25,-3.5,9.05,11.4,12.2,7.2,28.7165,21.3165,47.291,96.844,22.4125,15.8405,35.795,29.595,44.062,23.412
20220126,0.35,9.95,9.85,2.2,7.15,-2.25,5.15,9.85,10.5,7.6,29.663,21.998,36.069,94.5325,27.327,16.393,42.217,,41.869,22.5775
20220127,0.2,10.15,10.05,5.7,8.5,1.4,7.2,9.15,9.35,9.15,30.391,23.552,33.87,61.7395,33.452,19.5025,45.657,,37.912,19.8095
20220128,2.75,11.4,6.25,5.25,9.7,4.05,8.9,9.05,9.8,9.15,34.484,23.1215,32.1575,42.9695,33.647,20.648,34.621,35.006,35.397,19.1675
20220129,8.05,12.35,4.65,3.1,9.4,1.25,8.95,9.1,3.8,7.1,35.9315,26.7855,29.257,59.0555,,18.857,33.228,31.1775,40.2915,25.7475
