일자,"2013년
8.8 ℃
0.0 톤
PCC -0.694
온도 (℃)","2014년
8.2 ℃
0.0 톤
PCC -0.626
온도 (℃)","2015년
8.4 ℃
0.1 톤
PCC -0.579
온도 (℃)","2016년
10.7 ℃
0.1 톤
PCC -0.614
온도 (℃)","2017년
10.1 ℃
0.1 톤
PCC -0.678
온도 (℃)","2018년
4.3 ℃
0.0 톤
PCC -0.596
온도 (℃)","2019년
10.8 ℃
0.1 톤
PCC -0.713
온도 (℃)","2020년
4.0 ℃
0.1 톤
PCC -0.656
온도 (℃)","2021년
5.5 ℃
1.1 톤
PCC -0.703
온도 (℃)","2022년
1.9 ℃
0.1 톤
PCC -0.642
온도 (℃)","2013년
8.8 ℃
0.0 톤
PCC -0.694
거래물량 (톤)","2014년
8.2 ℃
0.0 톤
PCC -0.626
거래물량 (톤)","2015년
8.4 ℃
0.1 톤
PCC -0.579
거래물량 (톤)","2016년
10.7 ℃
0.1 톤
PCC -0.614
거래물량 (톤)","2017년
10.1 ℃
0.1 톤
PCC -0.678
거래물량 (톤)","2018년
4.3 ℃
0.0 톤
PCC -0.596
거래물량 (톤)","2019년
10.8 ℃
0.1 톤
PCC -0.713
거래물량 (톤)","2020년
4.0 ℃
0.1 톤
PCC -0.656
거래물량 (톤)","2021년
5.5 ℃
1.1 톤
PCC -0.703
거래물량 (톤)","2022년
1.9 ℃
0.1 톤
PCC -0.642
거래물량 (톤)"
20220101,-8.2,0.4,-4.8,-4.1,-2.95,-0.6,-6.8,-5.35,-7.6,-6.6,,5.388,46.489,29.0575,56.82,,67.633,49.192,30.363,44.401
20220102,-8.25,0.55,-4.95,-4.3,-1.75,-4.5,-3.9,-4.4,-4.95,-8.65,0.472,,0.036,2.405,1.042,0.358,,0.09,2.074,
20220103,-8.9,-3.95,-7.15,-2.45,-0.05,-4.6,-5.05,-2.05,-3.4,-8.4,18.6425,32.356,47.1755,,25.4985,26.6845,75.756,23.7255,0.289,42.186
20220104,-11.1,-4.55,-7.65,0.35,-0.95,-2.3,-7.2,-3.25,-5.05,-5.9,35.07,31.9385,94.315,71.214,42.3825,42.434,63.4295,47.1155,102.279,38.6155
20220105,-12.85,-5.15,-5.05,0.9,-2.65,-0.6,-6.9,-5.7,-5.75,-3.85,33.168,31.521,80.884,57.338,30.8245,29.7005,49.1785,46.87,83.183,30.6635
20220106,-9.9,-6.9,-4.6,-1.45,-0.7,-1.6,-5.35,-5,-7.55,-4.35,33.009,24.585,69.2645,39.0575,29.683,30.952,47.254,37.774,55.856,25.2575
20220107,-8.25,-7.25,-2.8,-0.8,-1.1,-6.1,-6.65,0.15,-11.4,-6.95,36.77,25.056,52.834,89.372,36.033,34.36,55.894,33.814,43.734,19.13
20220108,-9.3,-4,-3.8,0.4,0.25,-3.5,-4.5,3.55,-13.65,-9.65,35.358,24.356,49.4375,91.789,39.539,32.477,50.415,26.1205,43.8225,21.808
20220109,-7.2,-3.5,-2.6,0.6,2.35,-0.1,-4,1,-14.45,-6.25,30.39,20.1425,56.3595,58.0505,32.621,27.275,42.705,20.401,48.689,29.589
20220110,-7.3,-7.9,-0.2,0.6,1,-3.5,-5,-3.3,-12.45,-4.6,26.385,19.3725,66.878,76.614,35.33,21.1955,40.19,22.451,49.576,30.941
