일자,"2013년
93.5 mm
0.0 톤
PCC -0.365
강수량 (mm)","2014년
31.5 mm
0.0 톤
PCC -0.347
강수량 (mm)","2015년
49.5 mm
0.1 톤
PCC -0.237
강수량 (mm)","2016년
317.1 mm
0.1 톤
PCC -0.323
강수량 (mm)","2017년
94.3 mm
0.1 톤
PCC -0.415
강수량 (mm)","2018년
303.9 mm
0.0 톤
PCC -0.195
강수량 (mm)","2019년
205.3 mm
0.1 톤
PCC -0.424
강수량 (mm)","2020년
2.2 mm
0.1 톤
PCC -0.434
강수량 (mm)","2021년
61.5 mm
1.1 톤
PCC -0.256
강수량 (mm)","2022년
27.7 mm
0.1 톤
PCC -0.423
강수량 (mm)","2013년
93.5 mm
0.0 톤
PCC -0.365
거래물량 (톤)","2014년
31.5 mm
0.0 톤
PCC -0.347
거래물량 (톤)","2015년
49.5 mm
0.1 톤
PCC -0.237
거래물량 (톤)","2016년
317.1 mm
0.1 톤
PCC -0.323
거래물량 (톤)","2017년
94.3 mm
0.1 톤
PCC -0.415
거래물량 (톤)","2018년
303.9 mm
0.0 톤
PCC -0.195
거래물량 (톤)","2019년
205.3 mm
0.1 톤
PCC -0.424
거래물량 (톤)","2020년
2.2 mm
0.1 톤
PCC -0.434
거래물량 (톤)","2021년
61.5 mm
1.1 톤
PCC -0.256
거래물량 (톤)","2022년
27.7 mm
0.1 톤
PCC -0.423
거래물량 (톤)"
20220101,0,2.25,3,21,36.6,42.25,10.15,27.2,4.6,12.8,,5.388,46.489,29.0575,56.82,,67.633,49.192,30.363,44.401
20220102,0,0,0,0,0,0,0,0,0,0,0.472,,0.036,2.405,1.042,0.358,,0.09,2.074,
20220103,0,0,0,0,0,0,0,0,0,0,18.6425,32.356,47.1755,,25.4985,26.6845,75.756,23.7255,0.289,42.186
20220104,0,0,0,0,0,0,0,0,0,0,35.07,31.9385,94.315,71.214,42.3825,42.434,63.4295,47.1155,102.279,38.6155
20220105,0,0,1.5,0,0,0,0,0,0,0,33.168,31.521,80.884,57.338,30.8245,29.7005,49.1785,46.87,83.183,30.6635
20220106,0,0,3,0,0,0,0,4.45,0,0,33.009,24.585,69.2645,39.0575,29.683,30.952,47.254,37.774,55.856,25.2575
20220107,0,0,3,0,0,0,0,15.5,0,0,36.77,25.056,52.834,89.372,36.033,34.36,55.894,33.814,43.734,19.13
20220108,0,0.5,3,0,1.7,1.8,0,39.8,0,0,35.358,24.356,49.4375,91.789,39.539,32.477,50.415,26.1205,43.8225,21.808
20220109,0,1,3,0,5.15,3.6,0,57.5,0,0,30.39,20.1425,56.3595,58.0505,32.621,27.275,42.705,20.401,48.689,29.589
20220110,0,1,3,0,6.9,3.6,0,57.5,0,0,26.385,19.3725,66.878,76.614,35.33,21.1955,40.19,22.451,49.576,30.941
20220111,0,1,3,0,6.9,3.6,0,57.5,0,0,28.504,23.552,71.889,36.22,35.1895,17.454,46.046,27.1605,45.144,29.1225
20220112,0,1,3,0,6.9,3.6,2.55,57.5,0,0,35.716,25.459,63.469,52.073,30.848,18.3055,56.2315,27.834,42.5715,24.823
20220113,0,1,3,0,6.9,3.6,7.85,57.5,0,0,40.36,25.352,60.819,104.3835,33.348,24.119,60.277,32.099,37.4155,20.985
20220114,0,1,3,0,6.9,3.6,10.6,57.5,0,0,37.162,24.528,52.931,144.318,39.771,26.217,56.811,31.9555,33.7005,23.113
20220115,0,1,3,0,6.9,3.6,10.6,57.5,0,0,36.7885,12.3805,44.6725,160.504,42.202,23.055,53.6185,25.989,35.601,27.3155
20220116,0,1,3,0,6.9,5.95,10.6,57.5,0,0,33.477,9.3935,43.1305,191.31,32.39,21.0735,47.126,18.731,44.9915,28.033
20220117,0,1,3,0,6.9,10.15,10.6,57.5,0,0,29.3055,19.979,46.971,209.407,30.1855,17.715,41.073,20.7825,51.35,26.882
20220118,0,1,3,0,6.9,14,10.6,57.5,0.95,0,30.8145,24.4955,49.333,166.555,28.3005,15.148,42.415,26.8335,56.767,25.0225
20220119,0,1,3,0,6.9,16,10.6,57.5,2.9,0,36.9495,26.763,45.424,156.2535,24.3455,18.2995,47.07,29.398,52.5985,19.986
20220120,0,1,3,0,6.9,16,10.6,57.5,3.9,0,40.342,22.792,43.7885,129.2605,22.358,24.431,47.63,24.624,45.1605,16.518
20220121,6.5,1,5,0,6.9,16,10.6,57.5,3.9,0,42.642,22.4855,41.6175,106.4975,26.725,26.221,45.537,20.937,39.4915,20.385
20220122,13,1,7,0,6.9,16.5,10.6,59.2,4.5,0,40.7415,19.804,38.157,114.496,28.805,21.108,41.14,16.7485,41.776,24.84
20220123,13,1,7,0,6.9,17.5,10.6,62.85,5.8,0,34.6885,17.2605,39.387,140.02,23.562,19.922,34.378,23.986,48.674,25.137
20220124,13,1,7,0,6.9,18,10.6,66.9,7.25,0,29.517,18.8635,45.4165,151.474,23.495,17.994,32.413,30.66,50.888,23.889
20220125,13,1.5,10.5,0,6.9,18,10.6,69,8,0,28.7165,21.3165,47.291,96.844,22.4125,15.8405,35.795,29.595,44.062,23.412
20220126,13,2,14.75,0,6.9,18,10.6,69,12.4,0,29.663,21.998,36.069,94.5325,27.327,16.393,42.217,,41.869,22.5775
20220127,13,2,15.5,0,6.9,18,10.6,76,22.25,0,30.391,23.552,33.87,61.7395,33.452,19.5025,45.657,,37.912,19.8095
20220128,13,2,15.5,6.5,6.9,18,10.6,93.45,27.7,0,34.484,23.1215,32.1575,42.9695,33.647,20.648,34.621,35.006,35.397,19.1675
20220129,13,2,15.5,20.5,6.9,18,10.6,105.05,27.7,0,35.9315,26.7855,29.257,59.0555,,18.857,33.228,31.1775,40.2915,25.7475
20220130,13,2,15.75,28,6.9,18,10.6,109.7,27.7,0,33.5365,27.7735,29.2955,62.598,,18.2595,29.1465,21.4435,46.054,30.559
20220131,13,2,16,28,6.9,18,15.1,113.2,28.4,0,29.494,24.667,37.022,61.766,1.015,15.319,26.017,17.2225,46.171,1.63
20220201,31.25,1,8,14,3.45,9,15.05,113.2,21,0,32.189,,41.323,41.978,27.447,12.606,30.101,26.014,47.524,1.63
20220202,49.5,0,0,0,0,0,10.5,0,19.95,0,35.096,,25.432,42.3035,42.649,14.1725,36.352,33.121,43.7945,
20220203,51,0,0,0,0,0,15.1,0,27,0,35.108,34.814,25.024,42.7965,28.804,19.0005,19.1715,34.829,37.906,
20220204,53.75,0,0,0,0,0,25.2,0,27.55,0,35.839,35.374,22.204,45.925,30.2895,21.892,26.4585,31.7985,33.108,54.777
20220205,56,0,0,0,0,0,30.7,0,28.65,0,31.621,30.333,18.8945,67.0385,34.39,20.384,52.652,29.2735,36.189,45.89
20220206,57.25,0,0,0,0,24.1,30.7,0,29.2,0,26.7445,23.0145,20.9065,110.9925,39.415,18.7935,,27.573,46.375,37.003
20220207,57.5,0.25,0,0,0,48.2,30.7,0,29.2,0,28.665,22.182,26.3085,136.794,37.7245,16.1975,,31.4145,50.841,41.844
20220208,57.5,0.75,0,0,0,48.2,30.7,0,29.2,0,36.1145,23.934,28.801,,31.585,15.9245,72.865,37.7925,48.143,36.159
20220209,57.5,1,0,0,0,48.2,30.7,0,29.2,0,30.2725,24.801,28.957,,25.765,18.463,65.1155,38.123,50.0115,28.236
20220210,57.5,1,0,0,0,48.2,30.7,0,29.2,0,19.56,17.526,28.2235,,31.278,24.4725,57.366,35.733,59.1775,27.5965
20220211,57.5,1,0,0,0,48.2,30.7,0,29.2,0,,17.2925,25.051,138.273,37.343,14.39,57.044,36.26,69.393,33.619
20220212,57.5,1,0,12.75,0,48.2,30.7,6.3,29.2,0,,16.907,23.8655,116.181,36.524,12.658,49.2045,35.2195,72.311,42.014
20220213,57.5,1,0,33,0,48.2,30.7,20.4,29.2,0,49.291,18.858,26.9235,85.166,34.507,25.5195,39.1925,33.752,,45.985
20220214,57.5,1,0,40.5,0,48.2,30.7,28.2,29.9,0,43.9195,24.0975,28.853,76.243,36.8665,32.1075,37.867,40.7805,,60.295
20220215,57.5,1,2,40.5,0,48.2,30.7,28.2,31.4,0,31.004,24.913,28.978,109.013,37.5055,36,43.023,51.808,102.213,57.6995
20220216,57.5,1,12,40.5,0.5,48.2,30.7,30.05,32.2,0,27.3095,22.592,41.497,90.105,35.4975,33.612,50.335,55.907,89.016,49.571
20220217,58,2,20,40.5,1.5,48.2,30.7,33.8,32.2,0,31.159,31.597,41.911,67.637,39.892,,53.338,73.339,65.462,44.476
20220218,60,3,20,40.5,2,48.2,30.7,35.7,32.2,0,40.23,31.615,35.1755,63.344,48.4215,,62.423,70.281,54.7285,47.7775
20220219,61.5,3,20,40.5,2,48.2,38.05,35.7,32.2,0,36.624,27.768,28.026,75.5465,52.269,57.085,57.4065,61.904,60.6435,53.7955
20220220,61.5,3,20,40.5,5.55,48.2,54.9,35.7,32.2,0,29.091,22.525,,99.583,60.602,53.2435,51.582,51.9095,67.836,56.95
20220221,61.5,3,28.25,40.5,12.85,48.2,64.4,35.7,32.2,0,21.657,23.951,0.326,110.684,59.2925,41.6835,45.394,52.6025,68.737,62.06
20220222,61.5,3,36.75,40.5,27,48.2,64.4,36.9,32.2,0,22.7585,29.0405,0.326,53.103,54.8155,34.543,46.4625,59.991,73.624,59.76
20220223,61.5,3,37,40.5,53.15,48.2,64.4,39.35,32.2,0,35.018,31.326,71.758,53.4375,48.239,37.1545,58.6925,62.011,73.456,54.075
20220224,61.5,3,37,40.5,68.9,48.2,64.4,40.6,32.2,0,42.669,38.574,62.11,43.52,47.1595,41.1255,64.474,72.369,72.7945,52.9325
20220225,61.5,3,37,40.5,68.9,48.2,64.4,44.65,34.4,0,36.575,37.578,45.2445,38.0965,52.8845,43.063,67.122,71.3595,70.837,59.8685
20220226,61.5,6.75,37,40.5,68.9,68.5,64.4,55.35,40,0,39.224,35.0455,39.6155,51.304,56.28,44.986,67.259,63.336,69.714,68.7985
20220227,61.5,10.5,37,40.5,68.9,88.8,64.4,62,43.4,0,40.847,35.0435,45.251,45.97,52.331,44.2575,67.1165,56.5615,67.5985,73.035
20220228,61.5,10.5,38.5,40.5,68.9,101.45,64.4,62.65,44.05,0,35.9655,37.6205,49.241,32.257,53.458,40.0165,62.063,58.983,65.142,82.026
20220229,,,,41,,,,63.95,,,,,,79.881,,,,62.4065,,
20220301,31.25,6.5,20.75,20.75,34.95,73.8,32.2,32.3,34,0,34.101,42.331,49.184,72.307,51.2855,36.635,62.6565,63.648,65.41,79.434
