일자,"2013년
74.3 %
12.9 톤
PCC -0.290
습도 (%)","2014년
79.3 %
10.8 톤
PCC -0.323
습도 (%)","2015년
66.8 %
18.9 톤
PCC -0.152
습도 (%)","2016년
91.9 %
14.8 톤
PCC -0.391
습도 (%)","2017년
83.7 %
10.5 톤
PCC -0.345
습도 (%)","2018년
81.6 %
14.8 톤
PCC -0.139
습도 (%)","2019년
87.0 %
17.9 톤
PCC -0.259
습도 (%)","2020년
76.7 %
12.8 톤
PCC -0.416
습도 (%)","2021년
85.8 %
11.9 톤
PCC -0.276
습도 (%)","2022년
76.6 %
12.1 톤
PCC -0.400
습도 (%)","2013년
74.3 %
12.9 톤
PCC -0.290
거래물량 (톤)","2014년
79.3 %
10.8 톤
PCC -0.323
거래물량 (톤)","2015년
66.8 %
18.9 톤
PCC -0.152
거래물량 (톤)","2016년
91.9 %
14.8 톤
PCC -0.391
거래물량 (톤)","2017년
83.7 %
10.5 톤
PCC -0.345
거래물량 (톤)","2018년
81.6 %
14.8 톤
PCC -0.139
거래물량 (톤)","2019년
87.0 %
17.9 톤
PCC -0.259
거래물량 (톤)","2020년
76.7 %
12.8 톤
PCC -0.416
거래물량 (톤)","2021년
85.8 %
11.9 톤
PCC -0.276
거래물량 (톤)","2022년
76.6 %
12.1 톤
PCC -0.400
거래물량 (톤)"
20220101,,67.5,81.25,78.5,89.05,77.55,79.25,68.65,86.45,70,,6.684,13.248,8.716,17.856,,15.34,24.484,17.61,18.537
20220102,78.5,61.5,87,80.5,89.7,78.5,82.95,77,82.85,70.45,0.2,1.712,,0.052,0.62,0.044,0.4,,2,
20220103,72.25,62,82,77.5,87,76.05,80.75,81.75,75.8,80.7,4.508,6.0165,15.302,0.052,6.32,9.567,7.346,19.776,2,13.649
20220104,66.5,65.5,80,70.75,86.5,70.45,83.9,84.1,77.15,75.7,7.586,10.2745,15.302,13.24,11.304,18.9315,12.982,19.55,18.958,13.983
20220105,67.75,65.25,81.5,65,85.85,71.55,80.8,80.15,79.75,60.65,5.57,10.228,15.418,11.588,10.432,17.551,12.486,19.324,17.888,14.646
20220106,70.5,63.5,76.75,64.5,82,71.8,68.3,79,77.5,52.5,4.784,9.379,16.321,9.724,9.778,16.1965,13.3,17.308,17.698,8.5145
20220107,67,64.75,66,70,83.6,77.6,73.4,89.1,79.85,63.75,9.316,10.027,18.084,5.04,10.002,16.064,13.284,17.454,16.997,7.3415
20220108,63.5,71.5,68.5,77.75,83.4,89.8,82.1,87.95,78.15,75.85,7.668,10.9555,9.612,4.21,10.724,17.375,13.28,15.612,13.895,12.814
20220109,67.75,66.5,75.75,78.75,77.7,91.65,65.95,77.25,74.3,79.6,7.692,11.942,7.211,10.536,11.056,16.5645,14.77,11.772,7.932,12.999
20220110,64,62.75,72.25,72.5,77.35,93.25,63.05,74.45,78.35,79.8,5.416,7.184,14.794,13.22,11.01,15.595,8.268,10.964,3.49,12.231
20220111,58.75,71.25,73,70.5,70,95.05,75.8,73.6,83.4,83.25,5.708,5.354,15.446,7.67,10.722,7.922,6.718,13.304,12.702,12.094
20220112,67.75,72.5,68,70.5,73.5,90.7,83.2,71.55,85.2,83,8.838,8.988,13.646,10.975,11.218,6.2975,13.87,14.6,11.917,12.8185
20220113,79,63,65.5,71,85.85,88.7,86.2,69.75,86.15,81.45,7.728,7.268,12.849,25.932,6.338,6.2335,14.576,15.473,14.022,7.1065
20220114,76,53.25,72,71.25,81.1,90.35,85,67.8,86.6,76.9,10.66,7.3765,13.415,18.904,7.108,0.28,13.692,16.3045,9.669,6.937
20220115,69.75,59.25,71.5,71,71.15,91.65,86.8,71.75,87.15,71.9,10.236,4.8985,14.778,30.25,13.496,14.517,15.478,17.728,8.877,13.986
20220116,76.25,66.5,77.75,67.5,67.5,95.55,77.85,68.35,78.2,75.5,9.058,2.276,13.464,64.3,9.928,14.4025,8.844,9.244,15.079,14.631
