일자,"2013년
15.5 ℃
12.9 톤
PCC -0.543
온도 (℃)","2014년
16.2 ℃
10.8 톤
PCC -0.544
온도 (℃)","2015년
18.5 ℃
18.9 톤
PCC -0.417
온도 (℃)","2016년
16.2 ℃
14.8 톤
PCC -0.559
온도 (℃)","2017년
15.4 ℃
10.5 톤
PCC -0.645
온도 (℃)","2018년
10.9 ℃
14.8 톤
PCC -0.553
온도 (℃)","2019년
15.7 ℃
17.9 톤
PCC -0.661
온도 (℃)","2020년
13.2 ℃
12.8 톤
PCC -0.678
온도 (℃)","2021년
10.9 ℃
11.9 톤
PCC -0.611
온도 (℃)","2022년
8.7 ℃
12.1 톤
PCC -0.594
온도 (℃)","2013년
15.5 ℃
12.9 톤
PCC -0.543
거래물량 (톤)","2014년
16.2 ℃
10.8 톤
PCC -0.544
거래물량 (톤)","2015년
18.5 ℃
18.9 톤
PCC -0.417
거래물량 (톤)","2016년
16.2 ℃
14.8 톤
PCC -0.559
거래물량 (톤)","2017년
15.4 ℃
10.5 톤
PCC -0.645
거래물량 (톤)","2018년
10.9 ℃
14.8 톤
PCC -0.553
거래물량 (톤)","2019년
15.7 ℃
17.9 톤
PCC -0.661
거래물량 (톤)","2020년
13.2 ℃
12.8 톤
PCC -0.678
거래물량 (톤)","2021년
10.9 ℃
11.9 톤
PCC -0.611
거래물량 (톤)","2022년
8.7 ℃
12.1 톤
PCC -0.594
거래물량 (톤)"
20220101,,3.1,-1.05,2.15,0.4,2.15,-2.4,-2.1,-4.25,-2,,6.684,13.248,8.716,17.856,,15.34,24.484,17.61,18.537
20220102,-3.3,3,-3,3.4,4,0.2,-0.75,-0.15,-1.4,-1.65,0.2,1.712,,0.052,0.62,0.044,0.4,,2,
20220103,-4.65,2.65,-3.15,6.35,5.35,-0.65,-1.6,2.15,-1.15,-1.8,4.508,6.0165,15.302,0.052,6.32,9.567,7.346,19.776,2,13.649
20220104,-6.25,1.9,0.3,6.55,3.45,-1.6,-3.1,2,-1.2,-0.75,7.586,10.2745,15.302,13.24,11.304,18.9315,12.982,19.55,18.958,13.983
20220105,-5.65,-0.05,4.45,3.65,4.15,-0.6,-0.65,1.2,-0.55,1.75,5.57,10.228,15.418,11.588,10.432,17.551,12.486,19.324,17.888,14.646
20220106,-3.7,-0.1,4.4,1.45,6.75,1.35,1.15,4.15,-1.85,2.5,4.784,9.379,16.321,9.724,9.778,16.1965,13.3,17.308,17.698,8.5145
20220107,-3.45,1,1.5,2,6.45,1.05,-0.75,10.2,-5.65,-0.15,9.316,10.027,18.084,5.04,10.002,16.064,13.284,17.454,16.997,7.3415
20220108,-3.6,1.85,-0.8,2.15,6.85,1.65,-0.9,9.65,-9.45,-2.05,7.668,10.9555,9.612,4.21,10.724,17.375,13.28,15.612,13.895,12.814
20220109,-3.3,-1,0,2,6.7,1.5,-1,4.85,-10.1,0.45,7.692,11.942,7.211,10.536,11.056,16.5645,14.77,11.772,7.932,12.999
20220110,-4.1,-3.7,1.4,2.3,3.3,-1.95,0.15,2.85,-9.05,1.7,5.416,7.184,14.794,13.22,11.01,15.595,8.268,10.964,3.49,12.231
20220111,-4.35,-2.2,1.45,1.7,0.65,-4.8,2.55,3.05,-6.5,-0.25,5.708,5.354,15.446,7.67,10.722,7.922,6.718,13.304,12.702,12.094
