일자,"2013년
14.8 ℃
12.9 톤
PCC 0.339
온도 (℃)","2014년
13.3 ℃
10.8 톤
PCC 0.284
온도 (℃)","2015년
18.5 ℃
18.9 톤
PCC 0.179
온도 (℃)","2016년
11.2 ℃
14.8 톤
PCC 0.218
온도 (℃)","2017년
14.4 ℃
10.5 톤
PCC 0.279
온도 (℃)","2018년
18.6 ℃
14.8 톤
PCC 0.249
온도 (℃)","2019년
12.9 ℃
17.9 톤
PCC 0.367
온도 (℃)","2020년
16.8 ℃
12.8 톤
PCC 0.450
온도 (℃)","2021년
11.2 ℃
11.9 톤
PCC 0.289
온도 (℃)","2022년
16.8 ℃
12.1 톤
PCC 0.406
온도 (℃)","2013년
14.8 ℃
12.9 톤
PCC 0.339
거래물량 (톤)","2014년
13.3 ℃
10.8 톤
PCC 0.284
거래물량 (톤)","2015년
18.5 ℃
18.9 톤
PCC 0.179
거래물량 (톤)","2016년
11.2 ℃
14.8 톤
PCC 0.218
거래물량 (톤)","2017년
14.4 ℃
10.5 톤
PCC 0.279
거래물량 (톤)","2018년
18.6 ℃
14.8 톤
PCC 0.249
거래물량 (톤)","2019년
12.9 ℃
17.9 톤
PCC 0.367
거래물량 (톤)","2020년
16.8 ℃
12.8 톤
PCC 0.450
거래물량 (톤)","2021년
11.2 ℃
11.9 톤
PCC 0.289
거래물량 (톤)","2022년
16.8 ℃
12.1 톤
PCC 0.406
거래물량 (톤)"
20220101,,14.8,5.55,11.55,13.05,10.45,9.95,10.55,12.45,9.3,,6.684,13.248,8.716,17.856,,15.34,24.484,17.61,18.537
20220102,10,15.15,7.3,13,14.7,13.95,8.7,13.05,9.95,13.4,0.2,1.712,,0.052,0.62,0.044,0.4,,2,
20220103,8.55,16.4,12.6,14,14.1,12.15,12.45,13,9.35,14.85,4.508,6.0165,15.302,0.052,6.32,9.567,7.346,19.776,2,13.649
20220104,8.9,14.3,13.85,12.9,14.05,7,13.35,13.4,11.3,13.65,7.586,10.2745,15.302,13.24,11.304,18.9315,12.982,19.55,18.958,13.983
20220105,12.95,13.9,14.15,9.05,11.85,6.3,11.05,15.7,9.95,8.85,5.57,10.228,15.418,11.588,10.432,17.551,12.486,19.324,17.888,14.646
20220106,12.7,15.8,12.9,9.55,10.8,9.7,10.75,11.65,6.35,8.8,4.784,9.379,16.321,9.724,9.778,16.1965,13.3,17.308,17.698,8.5145
20220107,11.5,15.85,9.3,8.65,12.05,12.15,13.15,8.15,9.05,14.5,9.316,10.027,18.084,5.04,10.002,16.064,13.284,17.454,16.997,7.3415
20220108,13.35,10.85,9.4,5.65,9.95,7.35,12.5,7.9,11.15,16.95,7.668,10.9555,9.612,4.21,10.724,17.375,13.28,15.612,13.895,12.814
20220109,10.7,6.9,11.95,8,9.75,3.65,9.75,6.95,11.8,14.45,7.692,11.942,7.211,10.536,11.056,16.5645,14.77,11.772,7.932,12.999
20220110,8.2,10.85,12.55,11.25,10.2,4.4,8.6,10.35,14.35,13.65,5.416,7.184,14.794,13.22,11.01,15.595,8.268,10.964,3.49,12.231
20220111,13.1,13.8,12.4,9.9,9.1,6.3,11.4,11.8,10.75,11.05,5.708,5.354,15.446,7.67,10.722,7.922,6.718,13.304,12.702,12.094
20220112,15.45,13.4,12.2,8.95,11.3,11.3,11.7,7.75,10.55,7.2,8.838,8.988,13.646,10.975,11.218,6.2975,13.87,14.6,11.917,12.8185
20220113,11,11.25,13.7,8.65,14.35,14.6,11.1,4.85,15.2,7.1,7.728,7.268,12.849,25.932,6.338,6.2335,14.576,15.473,14.022,7.1065
20220114,11.6,10.65,10.3,8.65,8.9,16.2,14.85,6.55,15.95,9.1,10.66,7.3765,13.415,18.904,7.108,0.28,13.692,16.3045,9.669,6.937
20220115,14.6,13.6,9.55,13.05,7.05,16.1,14.05,9.1,15.3,12.15,10.236,4.8985,14.778,30.25,13.496,14.517,15.478,17.728,8.877,13.986
20220116,12.8,15.8,11.6,14.2,12.35,11.6,10.7,10.3,10.2,10,9.058,2.276,13.464,64.3,9.928,14.4025,8.844,9.244,15.079,14.631
20220117,9.55,15.9,9.05,9.95,14.25,8.05,11.65,10.75,5.9,7.9,9.424,5.82,14.22,68.324,11.614,13.623,9.624,8.834,14.83,13.406
20220118,10.9,12.35,11.25,7.1,14.7,8.15,15.45,12.9,8.05,9.35,8.918,10.5575,14.976,63.268,12.748,10.976,9.834,17.72,15.56,13.7115
20220119,12.65,12.95,12.4,5.9,13.85,11.1,15.25,13.25,9.6,13.7,6.616,11.715,14.36,58.792,12.166,10.348,10.352,17.94,16.87,14.192
20220120,13.4,13.15,12.95,4.3,9.35,14.7,9.6,11.9,13.55,14.05,5.94,10.526,14.502,52.99,11.808,12.884,19.86,19.368,19.283,7.454
20220121,9,7.75,9.85,9.7,7.2,15.2,9.45,13.6,14.15,14.2,10.588,11.383,16.817,26.046,12.234,14.066,17.048,19.21,11.482,7.509
20220122,2.6,8.9,7.35,11.25,6.95,12.05,15.35,10.1,7.3,14.6,9.314,12.082,9.745,22.84,12.988,16.727,16.826,20.312,11.6475,14.354
