일자,"2013년
22.9 ℃
12.9 톤
PCC -0.473
온도 (℃)","2014년
22.9 ℃
10.8 톤
PCC -0.490
온도 (℃)","2015년
27.7 ℃
18.9 톤
PCC -0.366
온도 (℃)","2016년
23.1 ℃
14.8 톤
PCC -0.523
온도 (℃)","2017년
23.4 ℃
10.5 톤
PCC -0.602
온도 (℃)","2018년
21.2 ℃
14.8 톤
PCC -0.508
온도 (℃)","2019년
23.2 ℃
17.9 톤
PCC -0.613
온도 (℃)","2020년
22.3 ℃
12.8 톤
PCC -0.612
온도 (℃)","2021년
17.4 ℃
11.9 톤
PCC -0.570
온도 (℃)","2022년
17.8 ℃
12.1 톤
PCC -0.543
온도 (℃)","2013년
22.9 ℃
12.9 톤
PCC -0.473
거래물량 (톤)","2014년
22.9 ℃
10.8 톤
PCC -0.490
거래물량 (톤)","2015년
27.7 ℃
18.9 톤
PCC -0.366
거래물량 (톤)","2016년
23.1 ℃
14.8 톤
PCC -0.523
거래물량 (톤)","2017년
23.4 ℃
10.5 톤
PCC -0.602
거래물량 (톤)","2018년
21.2 ℃
14.8 톤
PCC -0.508
거래물량 (톤)","2019년
23.2 ℃
17.9 톤
PCC -0.613
거래물량 (톤)","2020년
22.3 ℃
12.8 톤
PCC -0.612
거래물량 (톤)","2021년
17.4 ℃
11.9 톤
PCC -0.570
거래물량 (톤)","2022년
17.8 ℃
12.1 톤
PCC -0.543
거래물량 (톤)"
20220101,,10.5,1.7,7.9,8,7.15,2.95,3.65,1.4,3.9,,6.684,13.248,8.716,17.856,,15.34,24.484,17.61,18.537
20220102,1.7,10.55,0.65,9.85,12.4,7.8,3.9,7.1,3.15,6.6,0.2,1.712,,0.052,0.62,0.044,0.4,,2,
20220103,-0.4,10.8,3.15,13.3,12.4,5.95,4.9,9,3,6.85,4.508,6.0165,15.302,0.052,6.32,9.567,7.346,19.776,2,13.649
20220104,-1.85,9,7.2,12.95,11.15,2.55,4.55,9.4,4.75,6.8,7.586,10.2745,15.302,13.24,11.304,18.9315,12.982,19.55,18.958,13.983
20220105,0.8,6.9,11.55,8.15,10.5,3.25,5.1,10.1,4.85,5.7,5.57,10.228,15.418,11.588,10.432,17.551,12.486,19.324,17.888,14.646
20220106,2.65,7.85,10.9,6.2,11.8,6.25,6.5,10.25,1.35,5.75,4.784,9.379,16.321,9.724,9.778,16.1965,13.3,17.308,17.698,8.5145
20220107,2.3,8.95,6.2,6.3,11.7,6.65,6.4,14.55,-1,7.4,9.316,10.027,18.084,5.04,10.002,16.064,13.284,17.454,16.997,7.3415
20220108,3.1,7.3,3.95,5,11.75,5.15,5.8,14.7,-3.6,7.8,7.668,10.9555,9.612,4.21,10.724,17.375,13.28,15.612,13.895,12.814
20220109,2.1,2.5,6,6,11.15,3.65,4.25,8.4,-4.15,8.1,7.692,11.942,7.211,10.536,11.056,16.5645,14.77,11.772,7.932,12.999
20220110,0.05,1.75,7.65,7.9,6.95,0.8,5.05,7.75,-1.55,8.8,5.416,7.184,14.794,13.22,11.01,15.595,8.268,10.964,3.49,12.231
20220111,2.2,4.7,7.6,6.65,4.95,-1.4,8.4,8.75,-1,5.9,5.708,5.354,15.446,7.67,10.722,7.922,6.718,13.304,12.702,12.094
20220112,6.2,6.3,6.2,4.5,6.35,-1.85,9.95,7.1,1.3,2,8.838,8.988,13.646,10.975,11.218,6.2975,13.87,14.6,11.917,12.8185
20220113,5.6,4.45,7.55,4.5,8.05,0.8,9.2,5.85,7.25,1.25,7.728,7.268,12.849,25.932,6.338,6.2335,14.576,15.473,14.022,7.1065
20220114,4.45,3,8.15,5.7,3.25,5.25,8.6,6.4,11.9,2.5,10.66,7.3765,13.415,18.904,7.108,0.28,13.692,16.3045,9.669,6.937
