일자,"2013년
8.1 ℃
12.9 톤
PCC -0.590
온도 (℃)","2014년
9.6 ℃
10.8 톤
PCC -0.569
온도 (℃)","2015년
9.2 ℃
18.9 톤
PCC -0.447
온도 (℃)","2016년
12.0 ℃
14.8 톤
PCC -0.587
온도 (℃)","2017년
9.0 ℃
10.5 톤
PCC -0.678
온도 (℃)","2018년
2.6 ℃
14.8 톤
PCC -0.587
온도 (℃)","2019년
10.4 ℃
17.9 톤
PCC -0.681
온도 (℃)","2020년
5.5 ℃
12.8 톤
PCC -0.716
온도 (℃)","2021년
6.2 ℃
11.9 톤
PCC -0.626
온도 (℃)","2022년
1.0 ℃
12.1 톤
PCC -0.627
온도 (℃)","2013년
8.1 ℃
12.9 톤
PCC -0.590
거래물량 (톤)","2014년
9.6 ℃
10.8 톤
PCC -0.569
거래물량 (톤)","2015년
9.2 ℃
18.9 톤
PCC -0.447
거래물량 (톤)","2016년
12.0 ℃
14.8 톤
PCC -0.587
거래물량 (톤)","2017년
9.0 ℃
10.5 톤
PCC -0.678
거래물량 (톤)","2018년
2.6 ℃
14.8 톤
PCC -0.587
거래물량 (톤)","2019년
10.4 ℃
17.9 톤
PCC -0.681
거래물량 (톤)","2020년
5.5 ℃
12.8 톤
PCC -0.716
거래물량 (톤)","2021년
6.2 ℃
11.9 톤
PCC -0.626
거래물량 (톤)","2022년
1.0 ℃
12.1 톤
PCC -0.627
거래물량 (톤)"
20220101,,-4.3,-3.85,-3.65,-5.05,-3.3,-7,-6.9,-11.05,-5.4,,6.684,13.248,8.716,17.856,,15.34,24.484,17.61,18.537
20220102,-8.3,-4.6,-6.65,-3.15,-2.3,-6.15,-4.8,-5.95,-6.8,-6.8,0.2,1.712,,0.052,0.62,0.044,0.4,,2,
20220103,-8.95,-5.6,-9.45,-0.7,-1.7,-6.2,-7.55,-4,-6.35,-8,4.508,6.0165,15.302,0.052,6.32,9.567,7.346,19.776,2,13.649
20220104,-10.75,-5.3,-6.65,0.05,-2.9,-4.45,-8.8,-4,-6.55,-6.85,7.586,10.2745,15.302,13.24,11.304,18.9315,12.982,19.55,18.958,13.983
20220105,-12.15,-7,-2.6,-0.9,-1.35,-3.05,-5.95,-5.6,-5.1,-3.15,5.57,10.228,15.418,11.588,10.432,17.551,12.486,19.324,17.888,14.646
20220106,-10.05,-7.95,-2,-3.35,1,-3.45,-4.25,-1.4,-5,-3.05,4.784,9.379,16.321,9.724,9.778,16.1965,13.3,17.308,17.698,8.5145
20220107,-9.2,-6.9,-3.1,-2.35,-0.35,-5.5,-6.75,6.4,-10.05,-7.1,9.316,10.027,18.084,5.04,10.002,16.064,13.284,17.454,16.997,7.3415
20220108,-10.25,-3.55,-5.45,-0.65,1.8,-2.2,-6.7,6.8,-14.75,-9.15,7.668,10.9555,9.612,4.21,10.724,17.375,13.28,15.612,13.895,12.814
20220109,-8.6,-4.4,-5.95,-2,1.4,0,-5.5,1.45,-15.95,-6.35,7.692,11.942,7.211,10.536,11.056,16.5645,14.77,11.772,7.932,12.999
20220110,-8.15,-9.1,-4.9,-3.35,-3.25,-3.6,-3.55,-2.6,-15.9,-4.85,5.416,7.184,14.794,13.22,11.01,15.595,8.268,10.964,3.49,12.231
20220111,-10.9,-9.1,-4.8,-3.25,-4.15,-7.7,-3,-3.05,-11.75,-5.15,5.708,5.354,15.446,7.67,10.722,7.922,6.718,13.304,12.702,12.094
20220112,-9.25,-7.1,-6,-4.45,-4.95,-13.15,-1.75,-0.65,-9.25,-5.2,8.838,8.988,13.646,10.975,11.218,6.2975,13.87,14.6,11.917,12.8185
20220113,-5.4,-6.8,-6.15,-4.15,-6.3,-13.8,-1.9,1,-7.95,-5.85,7.728,7.268,12.849,25.932,6.338,6.2335,14.576,15.473,14.022,7.1065
20220114,-7.15,-7.65,-2.15,-2.95,-5.65,-10.95,-6.25,-0.15,-4.05,-6.6,10.66,7.3765,13.415,18.904,7.108,0.28,13.692,16.3045,9.669,6.937
20220115,-8.8,-8.95,-1.25,-5.05,-6.55,-6.9,-5.65,-3,-0.95,-6.25,10.236,4.8985,14.778,30.25,13.496,14.517,15.478,17.728,8.877,13.986
20220116,-8,-9.8,-4.35,-4.05,-8.9,-2.9,-5.3,-3.75,-0.4,-3.6,9.058,2.276,13.464,64.3,9.928,14.4025,8.844,9.244,15.079,14.631
20220117,-7.45,-9.05,-5.2,-1.45,-8.85,-0.7,-6.85,-3.1,-3.15,-3.45,9.424,5.82,14.22,68.324,11.614,13.623,9.624,8.834,14.83,13.406
20220118,-8.75,-6.75,-6.9,-2.35,-7.85,1.05,-7.1,-5.2,-3.75,-5.25,8.918,10.5575,14.976,63.268,12.748,10.976,9.834,17.72,15.56,13.7115
