일자,"2013년
34.5 mm
12.9 톤
PCC -0.122
강수량 (mm)","2014년
14.0 mm
10.8 톤
PCC -0.305
강수량 (mm)","2015년
87.5 mm
18.9 톤
PCC -0.037
강수량 (mm)","2016년
315.5 mm
14.8 톤
PCC -0.215
강수량 (mm)","2017년
92.9 mm
10.5 톤
PCC -0.380
강수량 (mm)","2018년
173.3 mm
14.8 톤
PCC -0.097
강수량 (mm)","2019년
202.9 mm
17.9 톤
PCC -0.267
강수량 (mm)","2020년
7.4 mm
12.8 톤
PCC -0.560
강수량 (mm)","2021년
25.2 mm
11.9 톤
PCC -0.310
강수량 (mm)","2022년
13.3 mm
12.1 톤
PCC -0.306
강수량 (mm)","2013년
34.5 mm
12.9 톤
PCC -0.122
거래물량 (톤)","2014년
14.0 mm
10.8 톤
PCC -0.305
거래물량 (톤)","2015년
87.5 mm
18.9 톤
PCC -0.037
거래물량 (톤)","2016년
315.5 mm
14.8 톤
PCC -0.215
거래물량 (톤)","2017년
92.9 mm
10.5 톤
PCC -0.380
거래물량 (톤)","2018년
173.3 mm
14.8 톤
PCC -0.097
거래물량 (톤)","2019년
202.9 mm
17.9 톤
PCC -0.267
거래물량 (톤)","2020년
7.4 mm
12.8 톤
PCC -0.560
거래물량 (톤)","2021년
25.2 mm
11.9 톤
PCC -0.310
거래물량 (톤)","2022년
13.3 mm
12.1 톤
PCC -0.306
거래물량 (톤)"
20220101,,8,23,32.75,29.25,28.8,23.1,27.55,14.8,2.15,,6.684,13.248,8.716,17.856,,15.34,24.484,17.61,18.537
20220102,0.5,0,5,0,0,0,0,0,5.6,0,0.2,1.712,,0.052,0.62,0.044,0.4,,2,
20220103,0.5,0,5.5,0,0,0,0,0,6.6,0,4.508,6.0165,15.302,0.052,6.32,9.567,7.346,19.776,2,13.649
20220104,0.5,0,5.5,0,0,0,0,0,7.1,0,7.586,10.2745,15.302,13.24,11.304,18.9315,12.982,19.55,18.958,13.983
20220105,0.5,0,13.25,0,0,0,0,0,7.1,0,5.57,10.228,15.418,11.588,10.432,17.551,12.486,19.324,17.888,14.646
20220106,0.5,0,21.75,0,0,0,0,2.3,7.1,0,4.784,9.379,16.321,9.724,9.778,16.1965,13.3,17.308,17.698,8.5145
20220107,0.5,0,22.5,0,0,0.5,0,13.85,7.1,0,9.316,10.027,18.084,5.04,10.002,16.064,13.284,17.454,16.997,7.3415
20220108,0.5,1,22.5,0.25,1.1,2.1,0,24.6,7.1,0,7.668,10.9555,9.612,4.21,10.724,17.375,13.28,15.612,13.895,12.814
20220109,0.5,2,22.5,0.5,3.45,4.05,0,27.6,8.3,0,7.692,11.942,7.211,10.536,11.056,16.5645,14.77,11.772,7.932,12.999
20220110,0.5,2,22.5,0.5,4.7,8.75,0,29.1,10.2,0,5.416,7.184,14.794,13.22,11.01,15.595,8.268,10.964,3.49,12.231
20220111,0.5,2,22.5,0.5,4.7,13.25,0,29.1,11.65,0.5,5.708,5.354,15.446,7.67,10.722,7.922,6.718,13.304,12.702,12.094
20220112,0.5,2,22.5,0.5,4.7,14.9,1.15,29.1,12.4,1.5,8.838,8.988,13.646,10.975,11.218,6.2975,13.87,14.6,11.917,12.8185
20220113,0.5,2,22.5,0.5,4.7,15.9,3.55,29.1,12.4,2,7.728,7.268,12.849,25.932,6.338,6.2335,14.576,15.473,14.022,7.1065
20220114,0.5,2,22.5,0.5,5.45,15.9,4.8,29.1,12.4,2,10.66,7.3765,13.415,18.904,7.108,0.28,13.692,16.3045,9.669,6.937
20220115,0.5,2,22.5,0.5,6.95,15.9,4.8,29.1,12.4,2,10.236,4.8985,14.778,30.25,13.496,14.517,15.478,17.728,8.877,13.986
20220116,0.5,2,23.25,0.5,7.7,26.5,4.8,29.1,12.4,2,9.058,2.276,13.464,64.3,9.928,14.4025,8.844,9.244,15.079,14.631
20220117,0.5,2,24,3,7.7,39.2,4.8,29.1,12.4,2,9.424,5.82,14.22,68.324,11.614,13.623,9.624,8.834,14.83,13.406
