일자,"2013년
71.8 %
54.0 톤
PCC 0.547
습도 (%)","2014년
71.5 %
34.6 톤
PCC 0.347
습도 (%)","2015년
71.6 %
44.5 톤
PCC 0.204
습도 (%)","2016년
90.4 %
40.5 톤
PCC 0.220
습도 (%)","2017년
87.3 %
31.3 톤
PCC 0.245
습도 (%)","2018년
83.9 %
23.1 톤
PCC 0.161
습도 (%)","2019년
84.2 %
17.7 톤
PCC 0.164
습도 (%)","2020년
77.9 %
38.7 톤
PCC 0.241
습도 (%)","2021년
77.1 %
19.2 톤
PCC 0.346
습도 (%)","2022년
77.6 %
22.8 톤
PCC 0.316
습도 (%)","2013년
71.8 %
54.0 톤
PCC 0.547
거래물량 (톤)","2014년
71.5 %
34.6 톤
PCC 0.347
거래물량 (톤)","2015년
71.6 %
44.5 톤
PCC 0.204
거래물량 (톤)","2016년
90.4 %
40.5 톤
PCC 0.220
거래물량 (톤)","2017년
87.3 %
31.3 톤
PCC 0.245
거래물량 (톤)","2018년
83.9 %
23.1 톤
PCC 0.161
거래물량 (톤)","2019년
84.2 %
17.7 톤
PCC 0.164
거래물량 (톤)","2020년
77.9 %
38.7 톤
PCC 0.241
거래물량 (톤)","2021년
77.1 %
19.2 톤
PCC 0.346
거래물량 (톤)","2022년
77.6 %
22.8 톤
PCC 0.316
거래물량 (톤)"
20220101,89,75.5,72.75,73.12,89.59,65.79,58.22,78.09,76.05,60.99,,5.85717,1.0154,0.9875,1.106,1.5305,1.73017,2.9618,5.9235,2.137
20220102,80.25,74.62,72.31,75.56,89.49,67.04,56.68,78.74,75.99,63.94,,4.644399999999999,0.66575,0.9875,1.106,1.486,1.6544,2.76675,5.457199999999999,2.2775
20220103,76.67,72.19,73.81,76.5,88.19,66.21,57.92,77.97,73.79,67.16,,7.352,1.63025,1.005,1.74175,1.953,2.8314,2.89,6.19375,1.8033299999999999
20220104,74.5,73.25,75.62,77.38,88.85,68.75,61.86,79.41,71.6,66.82,,7.9546,2.12967,0.829,1.7334,1.97433,2.5784000000000002,2.126,6.7206,2.495
20220105,75.1,73.38,76,77.12,89.16,69.21,62.46,79.3,68.85,65,,8.78775,2.12967,0.6605,1.8132000000000001,1.66325,2.3571999999999997,2.581,6.349600000000001,0.855
20220106,74.92,73.25,74.69,77.88,90.1,68.6,63.74,79.41,66.18,62.91,,8.285200000000001,2.12967,0.6605,2.001,2.47225,2.4125,2.7706,5.743399999999999,0.855
20220107,74.64,73,74,77.31,90.57,66.94,64.78,80.46,65.35,64.14,,7.1356,2.9555,0.74833,2.001,2.47225,2.2344,2.1284,5.247199999999999,0.855
20220108,73.94,72.25,73.75,74.69,89.01,68.47,63.95,84.48,63.94,67.54,,7.4946,4.706,0.73775,2.045,1.9938,2.2154000000000003,2.49025,5.557,0.855
20220109,71.38,69.94,75.38,73.12,87.85,69.89,61.99,84.26,60.91,68.46,,6.85983,4.706,0.73775,2.06325,1.9938,1.9745,2.1271999999999998,5.557,0.855
20220110,70.69,71.31,75.75,71.06,85.61,69.84,61.8,84.31,60.92,69.22,,6.19143,4.706,0.73775,2.06325,1.9938,1.9745,1.974,5.557,0.855
20220111,71.62,71.12,75.19,68,83.54,71.85,62.6,84.6,62.25,67.96,,4.40717,,0.8108,1.631,1.834,1.095,1.59067,5.55167,
20220112,73.75,69.88,73.19,67.25,83.07,71.98,62.61,83.6,63.75,67.49,,3.773,,0.85025,1.5965,1.5573299999999999,1.1042,1.68,4.8964,
20220113,74.06,67.25,71.62,68.81,82.28,73.89,64.89,82.28,66.59,65.47,,3.9598299999999997,,1.0285,1.339,1.971,1.13575,1.761,4.473,
20220114,75.25,65.88,72.06,67.75,79.25,75.45,67.66,80.26,67.19,64.85,,3.61417,,1.0285,1.339,0.08,1.5022,1.4074,4.336,
20220115,76.19,64.06,73.06,68.44,77.06,76.2,68.01,76.99,70.4,64.06,,3.4928000000000003,,0.9925,1.339,0.08,1.2758,1.1105999999999998,4.2501999999999995,
20220116,78.56,64.88,74.75,70.06,76.91,77.24,68.09,74.55,71.3,62.68,,3.875,,1.088,1.339,,1.5194,1.69117,3.568,
20220117,80.25,67.69,73.88,71.25,76.61,79.54,68.23,74.2,70.69,61.99,,4.847,,1.088,0.56,1.091,1.927,1.9,3.568,
20220118,81,66.5,74.75,72.25,78.25,81.25,68.76,72.18,72.2,59.51,,5.0338,,1.18025,0.56,1.091,2.1833299999999998,1.851,3.97333,
20220119,81.69,66.06,75.25,72.38,80.47,81.35,69.03,71.79,70.81,61.1,,5.0338,0.289,1.15825,0.56,1.091,2.02083,2.0046,3.2675,
20220120,81.06,67.69,76.25,73.56,81.11,82.95,67.19,71.59,69.9,62.66,,6.13217,0.289,1.0742,0.56,1.091,2.02083,2.61583,3.1935700000000002,
20220121,83.19,71.31,77.5,72.69,82.89,82.24,65.57,71.26,69.59,64.71,,6.38217,0.6445,0.8232,2.274,1.091,2.05686,2.5585,3.22014,
20220122,83.14,72.88,78.5,72.12,84.35,81.04,63.98,70.28,73.18,65.62,,6.174,0.6445,0.706,2.274,1.212,1.905,2.39086,3.2988600000000003,
20220123,85.57,74.25,80.81,68.56,85.41,77.82,62.89,69.66,73.45,66.25,,5.7765699999999995,0.563,0.6912,3.1735,1.212,2.3165,2.93829,3.12957,
20220124,85.17,74.56,80.12,66.81,85.3,71.36,62.42,70.69,75.2,67.16,,6.23529,0.702,0.6912,2.85067,1.212,2.16667,2.39786,3.41167,
20220125,81.75,77.19,82.44,65.19,85.02,65.39,62.22,72.31,78.25,69.94,,5.65586,0.702,0.6912,3.32825,1.262,2.0384,2.47617,3.95371,1.498
20220126,81.25,78,84.75,65.56,84.14,60.86,59.74,72.68,80.25,71.65,,6.07933,0.65,0.49975,3.32825,1.262,1.8554000000000002,2.7885999999999997,3.61267,1.498
20220127,80.5,78.25,84.12,66.44,82,59.22,58.65,71.5,80.39,70.49,,7.62386,0.6822,0.44225,3.32825,1.262,2.19675,2.7885999999999997,4.19217,1.498
20220128,80.25,77.12,84.25,65.94,80.21,54.85,59.49,72.31,79.8,69.25,,8.377139999999999,0.6822,0.34367000000000003,3.32825,1.262,2.2568,1.957,4.480600000000001,1.498
20220129,78.33,74.06,84.75,66.38,80.15,51.52,59.1,73.14,75.66,68.1,,8.378290000000002,0.60275,0.94633,3.67967,1.53367,1.956,1.7655999999999998,4.3812,1.498
