일자,"2013년
12.2 ℃
54.0 톤
PCC 0.621
온도 (℃)","2014년
11.5 ℃
34.6 톤
PCC 0.588
온도 (℃)","2015년
14.6 ℃
44.5 톤
PCC 0.537
온도 (℃)","2016년
13.9 ℃
40.5 톤
PCC 0.560
온도 (℃)","2017년
12.1 ℃
31.3 톤
PCC 0.541
온도 (℃)","2018년
9.3 ℃
23.1 톤
PCC 0.544
온도 (℃)","2019년
11.6 ℃
17.7 톤
PCC 0.531
온도 (℃)","2020년
9.0 ℃
38.7 톤
PCC 0.559
온도 (℃)","2021년
11.5 ℃
19.2 톤
PCC 0.581
온도 (℃)","2022년
11.4 ℃
22.8 톤
PCC 0.528
온도 (℃)","2013년
12.2 ℃
54.0 톤
PCC 0.621
거래물량 (톤)","2014년
11.5 ℃
34.6 톤
PCC 0.588
거래물량 (톤)","2015년
14.6 ℃
44.5 톤
PCC 0.537
거래물량 (톤)","2016년
13.9 ℃
40.5 톤
PCC 0.560
거래물량 (톤)","2017년
12.1 ℃
31.3 톤
PCC 0.541
거래물량 (톤)","2018년
9.3 ℃
23.1 톤
PCC 0.544
거래물량 (톤)","2019년
11.6 ℃
17.7 톤
PCC 0.531
거래물량 (톤)","2020년
9.0 ℃
38.7 톤
PCC 0.559
거래물량 (톤)","2021년
11.5 ℃
19.2 톤
PCC 0.581
거래물량 (톤)","2022년
11.4 ℃
22.8 톤
PCC 0.528
거래물량 (톤)"
20220101,-8.2,-2.48,-3.54,-2.02,-2.14,-2.79,-6.98,-2.14,-4.05,-7.09,,5.85717,1.0154,0.9875,1.106,1.5305,1.73017,2.9618,5.9235,2.137
20220102,-9.7,-1.95,-3.91,-1.34,-1.21,-2.91,-7.36,-1.93,-4.6,-6.5,,4.644399999999999,0.66575,0.9875,1.106,1.486,1.6544,2.76675,5.457199999999999,2.2775
20220103,-12.1,-1.88,-4,-1.09,-1.38,-3.09,-8.39,-1.99,-5.33,-5.94,,7.352,1.63025,1.005,1.74175,1.953,2.8314,2.89,6.19375,1.8033299999999999
20220104,-13.1,-1.18,-3.3,-0.3,-1.15,-2.91,-8.19,-1.74,-6.31,-5.21,,7.9546,2.12967,0.829,1.7334,1.97433,2.5784000000000002,2.126,6.7206,2.495
20220105,-13.08,-0.4,-2.61,0.21,-0.29,-2.79,-7.24,-1.54,-7.26,-5.44,,8.78775,2.12967,0.6605,1.8132000000000001,1.66325,2.3571999999999997,2.581,6.349600000000001,0.855
20220106,-12.52,0.14,-2.99,0.52,0.81,-3.35,-6.93,-1.39,-8.21,-5.79,,8.285200000000001,2.12967,0.6605,2.001,2.47225,2.4125,2.7706,5.743399999999999,0.855
20220107,-12.11,-0.11,-3.74,0.45,1.69,-4.19,-6.46,-0.9,-8.76,-6.08,,7.1356,2.9555,0.74833,2.001,2.47225,2.2344,2.1284,5.247199999999999,0.855
20220108,-11.64,-0.03,-4.1,0.05,2.9,-4.03,-5.83,0.39,-9.44,-5.76,,7.4946,4.706,0.73775,2.045,1.9938,2.2154000000000003,2.49025,5.557,0.855
20220109,-12.04,-1.2,-3.74,0.15,3.26,-4.05,-6.25,0.98,-10.29,-4.44,,6.85983,4.706,0.73775,2.06325,1.9938,1.9745,2.1271999999999998,5.557,0.855
20220110,-12.22,-2.13,-3.13,-0.39,2.29,-4.58,-5.68,0.78,-10.88,-4.4,,6.19143,4.706,0.73775,2.06325,1.9938,1.9745,1.974,5.557,0.855
20220111,-11.31,-2.68,-2.46,-1.43,1.41,-5.64,-4.68,0.63,-11.22,-4.31,,4.40717,,0.8108,1.631,1.834,1.095,1.59067,5.55167,
20220112,-9.81,-2.98,-3.08,-2.34,0.91,-6.69,-3.57,0.83,-11.27,-5.03,,3.773,,0.85025,1.5965,1.5573299999999999,1.1042,1.68,4.8964,
20220113,-8.67,-3.71,-3.47,-2.44,-0.21,-7.04,-3.46,0.88,-10.61,-5.1,,3.9598299999999997,,1.0285,1.339,1.971,1.13575,1.761,4.473,
20220114,-8.16,-4.33,-3.24,-2.84,-1.86,-7,-3.1,0.38,-9.54,-5.79,,3.61417,,1.0285,1.339,0.08,1.5022,1.4074,4.336,
20220115,-7.68,-4.78,-2.21,-2.82,-3.2,-5.85,-2.67,-0.99,-7.6,-5.64,,3.4928000000000003,,0.9925,1.339,0.08,1.2758,1.1105999999999998,4.2501999999999995,
