일자,"2013년
15.3 ℃
54.0 톤
PCC -0.580
온도 (℃)","2014년
15.6 ℃
34.6 톤
PCC -0.341
온도 (℃)","2015년
17.6 ℃
44.5 톤
PCC -0.195
온도 (℃)","2016년
13.7 ℃
40.5 톤
PCC -0.425
온도 (℃)","2017년
13.8 ℃
31.3 톤
PCC -0.238
온도 (℃)","2018년
15.1 ℃
23.1 톤
PCC -0.334
온도 (℃)","2019년
14.0 ℃
17.7 톤
PCC -0.229
온도 (℃)","2020년
16.0 ℃
38.7 톤
PCC -0.293
온도 (℃)","2021년
12.6 ℃
19.2 톤
PCC -0.457
온도 (℃)","2022년
14.3 ℃
22.8 톤
PCC -0.426
온도 (℃)","2013년
15.3 ℃
54.0 톤
PCC -0.580
거래물량 (톤)","2014년
15.6 ℃
34.6 톤
PCC -0.341
거래물량 (톤)","2015년
17.6 ℃
44.5 톤
PCC -0.195
거래물량 (톤)","2016년
13.7 ℃
40.5 톤
PCC -0.425
거래물량 (톤)","2017년
13.8 ℃
31.3 톤
PCC -0.238
거래물량 (톤)","2018년
15.1 ℃
23.1 톤
PCC -0.334
거래물량 (톤)","2019년
14.0 ℃
17.7 톤
PCC -0.229
거래물량 (톤)","2020년
16.0 ℃
38.7 톤
PCC -0.293
거래물량 (톤)","2021년
12.6 ℃
19.2 톤
PCC -0.457
거래물량 (톤)","2022년
14.3 ℃
22.8 톤
PCC -0.426
거래물량 (톤)"
20220101,15.5,10.91,11.4,12.13,10.03,9.27,10.85,10.14,12.15,10.33,,5.85717,1.0154,0.9875,1.106,1.5305,1.73017,2.9618,5.9235,2.137
20220102,17.45,10.3,11.31,12.34,9.54,10.21,10.7,8.76,12.35,11.28,,4.644399999999999,0.66575,0.9875,1.106,1.486,1.6544,2.76675,5.457199999999999,2.2775
20220103,16.53,11.23,11.59,12.43,10.56,10.11,11.7,9.57,12.24,11.97,,7.352,1.63025,1.005,1.74175,1.953,2.8314,2.89,6.19375,1.8033299999999999
20220104,16.77,11.61,10.98,12.63,11.3,9.9,12.85,9.77,12.46,12.08,,7.9546,2.12967,0.829,1.7334,1.97433,2.5784000000000002,2.126,6.7206,2.495
20220105,17.56,11.48,10.66,12.15,11.34,9.48,13.36,9.59,12.16,13.25,,8.78775,2.12967,0.6605,1.8132000000000001,1.66325,2.3571999999999997,2.581,6.349600000000001,0.855
20220106,17.08,11.5,10.71,11.64,11.97,10.61,13.69,9.29,12.37,13.39,,8.285200000000001,2.12967,0.6605,2.001,2.47225,2.4125,2.7706,5.743399999999999,0.855
20220107,17.01,11.64,10.31,10.81,12.02,11.19,14.02,9.21,13.26,14.79,,7.1356,2.9555,0.74833,2.001,2.47225,2.2344,2.1284,5.247199999999999,0.855
20220108,16.79,11.13,10.98,11.09,12.22,10.64,13.82,9.57,13.24,15.69,,7.4946,4.706,0.73775,2.045,1.9938,2.2154000000000003,2.49025,5.557,0.855
20220109,16.4,10.94,11.76,10.64,12.21,9.85,14.57,9.45,13.44,15.4,,6.85983,4.706,0.73775,2.06325,1.9938,1.9745,2.1271999999999998,5.557,0.855
20220110,16.01,11.05,12.15,10.43,12.15,9.96,14.42,10.28,14.01,15.08,,6.19143,4.706,0.73775,2.06325,1.9938,1.9745,1.974,5.557,0.855
20220111,16.35,10.7,11.35,10.25,12.26,10.47,13.74,10.41,13.77,14.19,,4.40717,,0.8108,1.631,1.834,1.095,1.59067,5.55167,
20220112,16.11,10.91,11.79,10.58,11.52,11.16,13.19,9.29,13.95,14.2,,3.773,,0.85025,1.5965,1.5573299999999999,1.1042,1.68,4.8964,
20220113,15.06,11.21,12.41,10.5,11.35,10.86,13.55,8.59,14.52,13.52,,3.9598299999999997,,1.0285,1.339,1.971,1.13575,1.761,4.473,
20220114,15.11,11.41,12.34,10.9,11.12,10.89,13.28,8.98,14.89,13.57,,3.61417,,1.0285,1.339,0.08,1.5022,1.4074,4.336,
20220115,15.05,11.89,12.69,11.18,11.09,10.54,12.44,9.2,15.04,13.25,,3.4928000000000003,,0.9925,1.339,0.08,1.2758,1.1105999999999998,4.2501999999999995,
