일자,"2013년
19.8 ℃
54.0 톤
PCC 0.569
온도 (℃)","2014년
19.3 ℃
34.6 톤
PCC 0.553
온도 (℃)","2015년
23.4 ℃
44.5 톤
PCC 0.489
온도 (℃)","2016년
22.1 ℃
40.5 톤
PCC 0.512
온도 (℃)","2017년
20.0 ℃
31.3 톤
PCC 0.520
온도 (℃)","2018년
18.2 ℃
23.1 톤
PCC 0.516
온도 (℃)","2019년
20.1 ℃
17.7 톤
PCC 0.518
온도 (℃)","2020년
18.2 ℃
38.7 톤
PCC 0.548
온도 (℃)","2021년
17.9 ℃
19.2 톤
PCC 0.564
온도 (℃)","2022년
19.0 ℃
22.8 톤
PCC 0.500
온도 (℃)","2013년
19.8 ℃
54.0 톤
PCC 0.569
거래물량 (톤)","2014년
19.3 ℃
34.6 톤
PCC 0.553
거래물량 (톤)","2015년
23.4 ℃
44.5 톤
PCC 0.489
거래물량 (톤)","2016년
22.1 ℃
40.5 톤
PCC 0.512
거래물량 (톤)","2017년
20.0 ℃
31.3 톤
PCC 0.520
거래물량 (톤)","2018년
18.2 ℃
23.1 톤
PCC 0.516
거래물량 (톤)","2019년
20.1 ℃
17.7 톤
PCC 0.518
거래물량 (톤)","2020년
18.2 ℃
38.7 톤
PCC 0.548
거래물량 (톤)","2021년
17.9 ℃
19.2 톤
PCC 0.564
거래물량 (톤)","2022년
19.0 ℃
22.8 톤
PCC 0.500
거래물량 (톤)"
20220101,-0.4,2.98,2.17,4.05,3.42,2.16,-1.01,3.02,2.75,-1.79,,5.85717,1.0154,0.9875,1.106,1.5305,1.73017,2.9618,5.9235,2.137
20220102,-0.95,3.2,1.75,4.84,3.74,2.65,-1.46,2.31,2.25,-0.53,,4.644399999999999,0.66575,0.9875,1.106,1.486,1.6544,2.76675,5.457199999999999,2.2775
20220103,-3.8,3.75,1.8,5.12,4.11,2.34,-1.79,2.74,1.4,0.47,,7.352,1.63025,1.005,1.74175,1.953,2.8314,2.89,6.19375,1.8033299999999999
20220104,-4.68,4.64,2.19,6.01,4.94,2.44,-0.9,3.2,0.55,1.29,,7.9546,2.12967,0.829,1.7334,1.97433,2.5784000000000002,2.126,6.7206,2.495
20220105,-4.26,5.35,2.71,6.29,5.76,2.4,0.21,3.24,-1,1.71,,8.78775,2.12967,0.6605,1.8132000000000001,1.66325,2.3571999999999997,2.581,6.349600000000001,0.855
20220106,-3.93,5.9,2.36,6.34,7.16,2.49,0.9,3.17,-2.16,1.5,,8.285200000000001,2.12967,0.6605,2.001,2.47225,2.4125,2.7706,5.743399999999999,0.855
20220107,-3.57,5.71,1.41,5.84,8.07,1.94,1.56,3.93,-2.25,2.19,,7.1356,2.9555,0.74833,2.001,2.47225,2.2344,2.1284,5.247199999999999,0.855
20220108,-3.21,5.55,1.39,5.57,9.2,1.85,2,5.71,-2.9,3.1,,7.4946,4.706,0.73775,2.045,1.9938,2.2154000000000003,2.49025,5.557,0.855
20220109,-3.81,4.28,2.15,5.45,9.16,1.28,2,6.31,-3.6,3.95,,6.85983,4.706,0.73775,2.06325,1.9938,1.9745,2.1271999999999998,5.557,0.855
20220110,-4.19,3.4,2.96,4.81,8.31,0.51,2.45,6.67,-3.84,3.81,,6.19143,4.706,0.73775,2.06325,1.9938,1.9745,1.974,5.557,0.855
20220111,-3.11,2.67,3.23,3.7,7.6,-0.25,2.96,6.65,-4.33,3.35,,4.40717,,0.8108,1.631,1.834,1.095,1.59067,5.55167,
20220112,-1.74,2.49,2.83,2.95,6.67,-1.05,3.51,6.18,-4.31,2.7,,3.773,,0.85025,1.5965,1.5573299999999999,1.1042,1.68,4.8964,
20220113,-1.12,1.9,2.74,2.81,5.35,-1.7,4.04,5.69,-3.1,2.15,,3.9598299999999997,,1.0285,1.339,1.971,1.13575,1.761,4.473,
20220114,-0.6,1.38,2.94,2.63,3.51,-1.6,4.12,5.59,-1.64,1.54,,3.61417,,1.0285,1.339,0.08,1.5022,1.4074,4.336,
20220115,-0.15,1.16,4.14,2.78,2.05,-0.94,3.94,4.29,0.32,1.36,,3.4928000000000003,,0.9925,1.339,0.08,1.2758,1.1105999999999998,4.2501999999999995,
20220116,-0.1,0.85,4.26,3.16,0.71,-0.69,3.5,3.28,1.46,0.93,,3.875,,1.088,1.339,,1.5194,1.69117,3.568,
20220117,0.21,1.76,4.11,3.34,0.33,0.03,4.25,3.51,2.28,0.34,,4.847,,1.088,0.56,1.091,1.927,1.9,3.568,
20220118,0.69,2.21,3.83,2.84,0.54,1.06,4.7,3.64,2.51,-0.28,,5.0338,,1.18025,0.56,1.091,2.1833299999999998,1.851,3.97333,
20220119,1.23,2.26,3.99,1.81,0.94,2.52,4.88,3.66,2.9,-0.21,,5.0338,0.289,1.15825,0.56,1.091,2.02083,2.0046,3.2675,
20220120,1.39,2.27,4.23,0.86,0.41,4.11,4.27,4.03,3.5,0.32,,6.13217,0.289,1.0742,0.56,1.091,2.02083,2.61583,3.1935700000000002,
20220121,1.5,1.94,4.26,0.48,0.53,5.11,4.05,4.35,3.26,1.22,,6.38217,0.6445,0.8232,2.274,1.091,2.05686,2.5585,3.22014,
20220122,1.44,1.86,4.44,0.19,0.84,5.3,4.51,4.46,3.13,2.29,,6.174,0.6445,0.706,2.274,1.212,1.905,2.39086,3.2988600000000003,
20220123,1.44,2.07,3.66,-0.96,0.54,4.15,5.25,5.59,3.21,3.07,,5.7765699999999995,0.563,0.6912,3.1735,1.212,2.3165,2.93829,3.12957,
20220124,1.73,2.39,4.2,-2.67,0.1,2.54,6.19,6.41,4.76,3.85,,6.23529,0.702,0.6912,2.85067,1.212,2.16667,2.39786,3.41167,
20220125,1.38,2.85,4.69,-3.63,-0.45,1.05,6.1,6.95,6.49,3.95,,5.65586,0.702,0.6912,3.32825,1.262,2.0384,2.47617,3.95371,1.498
20220126,0.82,2.89,5.02,-3.6,-0.45,-0.65,5.65,7.61,7.34,4.82,,6.07933,0.65,0.49975,3.32825,1.262,1.8554000000000002,2.7885999999999997,3.61267,1.498
