일자,"2013년
4.5 ℃
54.0 톤
PCC 0.659
온도 (℃)","2014년
3.7 ℃
34.6 톤
PCC 0.611
온도 (℃)","2015년
5.8 ℃
44.5 톤
PCC 0.569
온도 (℃)","2016년
8.4 ℃
40.5 톤
PCC 0.579
온도 (℃)","2017년
6.1 ℃
31.3 톤
PCC 0.552
온도 (℃)","2018년
3.1 ℃
23.1 톤
PCC 0.571
온도 (℃)","2019년
6.1 ℃
17.7 톤
PCC 0.533
온도 (℃)","2020년
2.3 ℃
38.7 톤
PCC 0.564
온도 (℃)","2021년
5.4 ℃
19.2 톤
PCC 0.602
온도 (℃)","2022년
4.7 ℃
22.8 톤
PCC 0.548
온도 (℃)","2013년
4.5 ℃
54.0 톤
PCC 0.659
거래물량 (톤)","2014년
3.7 ℃
34.6 톤
PCC 0.611
거래물량 (톤)","2015년
5.8 ℃
44.5 톤
PCC 0.569
거래물량 (톤)","2016년
8.4 ℃
40.5 톤
PCC 0.579
거래물량 (톤)","2017년
6.1 ℃
31.3 톤
PCC 0.552
거래물량 (톤)","2018년
3.1 ℃
23.1 톤
PCC 0.571
거래물량 (톤)","2019년
6.1 ℃
17.7 톤
PCC 0.533
거래물량 (톤)","2020년
2.3 ℃
38.7 톤
PCC 0.564
거래물량 (톤)","2021년
5.4 ℃
19.2 톤
PCC 0.602
거래물량 (톤)","2022년
4.7 ℃
22.8 톤
PCC 0.548
거래물량 (톤)"
20220101,-15.9,-7.94,-9.22,-8.08,-6.6,-7.11,-11.86,-7.11,-9.4,-12.11,,5.85717,1.0154,0.9875,1.106,1.5305,1.73017,2.9618,5.9235,2.137
20220102,-18.4,-7.1,-9.56,-7.5,-5.8,-7.56,-12.16,-6.45,-10.1,-11.8,,4.644399999999999,0.66575,0.9875,1.106,1.486,1.6544,2.76675,5.457199999999999,2.2775
20220103,-20.33,-7.48,-9.79,-7.3,-6.45,-7.78,-13.49,-6.84,-10.84,-11.5,,7.352,1.63025,1.005,1.74175,1.953,2.8314,2.89,6.19375,1.8033299999999999
20220104,-21.45,-6.97,-8.79,-6.61,-6.36,-7.46,-13.75,-6.57,-11.91,-10.79,,7.9546,2.12967,0.829,1.7334,1.97433,2.5784000000000002,2.126,6.7206,2.495
20220105,-21.82,-6.13,-7.95,-5.86,-5.57,-7.08,-13.15,-6.35,-13.16,-11.54,,8.78775,2.12967,0.6605,1.8132000000000001,1.66325,2.3571999999999997,2.581,6.349600000000001,0.855
20220106,-21.02,-5.6,-8.35,-5.3,-4.81,-8.13,-12.79,-6.11,-14.54,-11.89,,8.285200000000001,2.12967,0.6605,2.001,2.47225,2.4125,2.7706,5.743399999999999,0.855
20220107,-20.59,-5.93,-8.9,-4.98,-3.95,-9.25,-12.46,-5.29,-15.51,-12.6,,7.1356,2.9555,0.74833,2.001,2.47225,2.2344,2.1284,5.247199999999999,0.855
20220108,-20,-5.58,-9.59,-5.51,-3.02,-8.79,-11.82,-3.86,-16.14,-12.59,,7.4946,4.706,0.73775,2.045,1.9938,2.2154000000000003,2.49025,5.557,0.855
20220109,-20.21,-6.66,-9.61,-5.19,-3.05,-8.58,-12.57,-3.14,-17.04,-11.45,,6.85983,4.706,0.73775,2.06325,1.9938,1.9745,2.1271999999999998,5.557,0.855
20220110,-20.2,-7.65,-9.19,-5.61,-3.84,-9.45,-11.97,-3.6,-17.85,-11.26,,6.19143,4.706,0.73775,2.06325,1.9938,1.9745,1.974,5.557,0.855
20220111,-19.46,-8.02,-8.12,-6.55,-4.66,-10.72,-10.77,-3.76,-18.1,-10.84,,4.40717,,0.8108,1.631,1.834,1.095,1.59067,5.55167,
20220112,-17.85,-8.43,-8.96,-7.63,-4.85,-12.21,-9.67,-3.11,-18.26,-11.5,,3.773,,0.85025,1.5965,1.5573299999999999,1.1042,1.68,4.8964,
20220113,-16.19,-9.31,-9.68,-7.69,-6,-12.56,-9.51,-2.9,-17.62,-11.37,,3.9598299999999997,,1.0285,1.339,1.971,1.13575,1.761,4.473,
20220114,-15.71,-10.04,-9.4,-8.28,-7.61,-12.49,-9.15,-3.39,-16.52,-12.04,,3.61417,,1.0285,1.339,0.08,1.5022,1.4074,4.336,
20220115,-15.2,-10.73,-8.55,-8.4,-9.04,-11.47,-8.5,-4.91,-14.71,-11.89,,3.4928000000000003,,0.9925,1.339,0.08,1.2758,1.1105999999999998,4.2501999999999995,
20220116,-14.71,-11.52,-7.66,-8.31,-11.1,-11.84,-8.84,-6.1,-12.86,-11.57,,3.875,,1.088,1.339,,1.5194,1.69117,3.568,
20220117,-14.01,-11.29,-7.41,-8.39,-12.23,-10.74,-7.96,-6.56,-11.9,-12.48,,4.847,,1.088,0.56,1.091,1.927,1.9,3.568,
20220118,-13.44,-10.79,-7.76,-9.1,-12.46,-8.84,-8.44,-6.72,-11.06,-13.19,,5.0338,,1.18025,0.56,1.091,2.1833299999999998,1.851,3.97333,
20220119,-12.2,-11.25,-7.58,-9.5,-12.1,-7,-8.75,-6.66,-11.51,-13.73,,5.0338,0.289,1.15825,0.56,1.091,2.02083,2.0046,3.2675,
20220120,-11.96,-10.69,-7.31,-10.09,-13.02,-4.99,-8.91,-6.94,-11.55,-13.76,,6.13217,0.289,1.0742,0.56,1.091,2.02083,2.61583,3.1935700000000002,
20220121,-10.7,-10.01,-6.49,-10.95,-13.41,-4.49,-9.3,-7.25,-11.57,-14.21,,6.38217,0.6445,0.8232,2.274,1.091,2.05686,2.5585,3.22014,
20220122,-10.34,-9.39,-6.02,-11.24,-12.85,-3.49,-9.29,-6.69,-10.44,-13.55,,6.174,0.6445,0.706,2.274,1.212,1.905,2.39086,3.2988600000000003,
20220123,-8.31,-9.31,-6.02,-11.76,-13.09,-4.52,-9.39,-6,-9.46,-12.75,,5.7765699999999995,0.563,0.6912,3.1735,1.212,2.3165,2.93829,3.12957,
20220124,-7.7,-9.04,-5.72,-13.06,-13.49,-5.95,-9.05,-5.57,-8.94,-12.23,,6.23529,0.702,0.6912,2.85067,1.212,2.16667,2.39786,3.41167,
20220125,-7.28,-7.88,-5.05,-14.69,-13.99,-8.29,-9.41,-5.01,-7.59,-10.83,,5.65586,0.702,0.6912,3.32825,1.262,2.0384,2.47617,3.95371,1.498
20220126,-6.77,-7.55,-3.45,-14.87,-14.85,-10.29,-9.36,-4.47,-6.16,-9.54,,6.07933,0.65,0.49975,3.32825,1.262,1.8554000000000002,2.7885999999999997,3.61267,1.498
20220127,-7.58,-7.18,-3.66,-14.64,-14.88,-12.06,-10.2,-3.46,-4.14,-8.85,,7.62386,0.6822,0.44225,3.32825,1.262,2.19675,2.7885999999999997,4.19217,1.498
20220128,-8.17,-7.45,-3.68,-13.92,-14.75,-12.34,-10.53,-2.77,-3.32,-8.1,,8.377139999999999,0.6822,0.34367000000000003,3.32825,1.262,2.2568,1.957,4.480600000000001,1.498
20220129,-8.72,-7.71,-3.95,-12.27,-12.59,-13.25,-10.6,-1.89,-3.8,-7.65,,8.378290000000002,0.60275,0.94633,3.67967,1.53367,1.956,1.7655999999999998,4.3812,1.498
20220130,-7.84,-6.89,-4.7,-11.14,-12.45,-14.96,-10.63,-1.72,-5.55,-8.05,,9.28267,0.4848,1.3595,3.67967,1.634,1.8245,1.694,3.727,1.498
20220131,-8.4,-6.16,-5.61,-10.57,-11.81,-14.23,-10.61,-1.72,-6.84,-9.14,,10.460799999999999,0.506,1.3595,3.483,1.8783299999999998,2.14967,1.917,4.18375,1.498
20220201,-6.99,-5.54,-6.61,-9.74,-10.66,-13.91,-10.89,-1.26,-6.7,-9.3,,11.17,0.30167,1.1443299999999998,2.6485,1.84,2.34183,1.906,4.1514,1.498
20220202,-6.3,-5.13,-7.38,-9.4,-10.07,-13.35,-10.96,-1.36,-7.2,-10.18,,13.39667,0.30167,1.0735,0.536,2.05633,2.82771,1.906,3.6774,
20220203,-5.58,-5.24,-8.63,-9.8,-8.66,-12.42,-9.42,-1.12,-8.61,-11.04,,12.1335,0.2315,0.9892000000000001,0.536,1.887,2.874,2.375,3.6774,
20220204,-4.38,-5.26,-8.86,-9.51,-8.62,-12.1,-8.2,-3.03,-9.28,-11.3,,10.6415,0.013,1.7612,0.6905,1.887,2.63314,2.1414299999999997,3.5978000000000003,
20220205,-3.61,-5.83,-8.33,-9.59,-6.95,-13.18,-8.14,-5.07,-9.26,-11.85,,7.325,0.013,1.768,0.6905,1.7478,2.65583,2.07086,3.37167,
20220206,-3.6,-5.48,-8.34,-10.83,-7.84,-13.65,-7.07,-7.03,-8.55,-12.09,,7.38475,0.013,1.84667,0.6905,1.6655,3.0332,2.23229,4.0435,
20220207,-5.11,-5.81,-8.26,-11.91,-7.75,-13.94,-6.72,-8.42,-7.24,-12.01,,7.549600000000001,,1.84667,0.6905,1.6655,3.49975,2.76043,4.474399999999999,
20220208,-6.94,-4.96,-8.34,-12.23,-7.02,-15.21,-6.75,-8.85,-6.95,-11.64,,7.0135,,1.84667,0.6905,1.23375,2.686,2.17714,4.9315,1.37
20220209,-9.51,-4.82,-8.67,-11.51,-6.7,-15.1,-6.01,-8.99,-7.95,-12.31,,7.0135,,2.0732,0.845,0.89325,2.465,2.414,4.78917,1.37
20220210,-10.54,-5.71,-8.06,-10.9,-6.18,-14.31,-5.99,-8.96,-8.1,-12,,7.56214,,2.37625,0.7545,1.1554,1.3723299999999998,2.97571,4.764,1.541
20220211,-11.45,-5.66,-7.35,-10.04,-7.15,-14.64,-7.1,-8.61,-7.17,-11.74,,7.415430000000001,1.195,3.105,0.7545,1.0995,2.09125,2.42286,4.764,1.541
20220212,-12.23,-4.96,-7.09,-8.4,-7.53,-14.53,-7.74,-7.24,-6.62,-11.1,,6.1944300000000005,1.195,2.59167,0.664,1.3428,2.08025,2.42,4.843,1.541
20220213,-12.8,-4.1,-7.74,-6.28,-9.03,-14.1,-7.8,-5.78,-6.21,-9.97,,6.83257,0.9385,2.72833,1.0195,1.2788,2.08025,2.55,5.4935,1.541
20220214,-13.34,-3.65,-8.01,-5.56,-9.31,-13.11,-8.3,-3.95,-5.65,-9.2,,6.55314,0.9385,2.8895,1.0195,1.62883,2.08025,2.50386,5.02333,1.541
20220215,-12.35,-3.71,-7.95,-4.74,-9.45,-11.66,-7.83,-2.79,-5.96,-8.51,,5.62,0.9385,2.8895,0.8993300000000001,1.62883,2.4088000000000003,2.13383,4.36075,1.5473299999999999
20220216,-11.55,-4.5,-6.25,-4.35,-9.5,-10.91,-7.6,-2.64,-6.25,-8.5,0.45,5.8345,0.9385,2.8895,0.75475,1.8266,2.2396,2.3036,3.30475,1.636
20220217,-10,-4.5,-4.47,-4.75,-9.09,-10.38,-8.04,-2.32,-6.35,-8.62,0.45,7.709,0.909,2.8895,0.75475,2.1925,2.456,2.61967,3.3315,1.636
20220218,-8.71,-4.51,-3.99,-4.18,-8.99,-10.44,-7.87,-3.29,-6.8,-9.64,0.45,6.525,0.909,2.8895,0.67875,2.18867,2.683,1.8744,2.88033,1.56
20220219,-7.48,-4.47,-4.09,-3.63,-8.4,-10.06,-7.01,-3.5,-7.61,-9.26,0.45,6.513,0.766,2.212,0.67875,2.18867,1.9125999999999999,1.8152000000000001,3.21925,1.56
20220220,-7.45,-4.64,-4.01,-4.66,-7.65,-9.2,-6.06,-4.24,-7.3,-9.67,0.45,6.8855699999999995,0.766,2.212,0.67875,1.82467,2.0185999999999997,2.3778,2.9455999999999998,1.56
20220221,-6.73,-5.12,-2.62,-6.23,-7.44,-8.55,-5.67,-4.75,-7.05,-10.59,0.899,6.021859999999999,0.85,,0.44667,1.911,1.878,2.48975,2.9455999999999998,1.56
20220222,-6.61,-5.6,-1.56,-6.15,-6.86,-8.61,-5.34,-4.75,-6.67,-11.16,0.899,6.24467,0.85,3.486,0.60075,1.00167,1.80814,2.76233,2.93167,1.56
20220223,-6.82,-5.71,-1.15,-5.72,-6.03,-8.68,-5.59,-5.2,-6.96,-11.95,0.899,7.1582,0.634,3.486,0.58133,0.999,1.489,2.76233,3.0434,
20220224,-6.27,-5.64,-1.86,-5.89,-5.95,-7.78,-5.35,-5.38,-6.47,-12.51,1.348,6.79117,0.634,2.293,1.06633,0.999,1.645,2.689,3.056,1.205
20220225,-6.39,-5.96,-2.32,-5.78,-6.24,-7.39,-4.29,-4.05,-5.7,-12.25,1.348,4.3582,0.418,2.293,1.06633,0.999,2.21467,2.18533,2.983,1.205
20220226,-6.54,-6.01,-2.64,-5.31,-5.69,-7.53,-3.79,-2.49,-4.85,-10.5,1.348,4.1032,0.418,2.293,1.4195,1.5164000000000002,1.8195,2.45925,2.73025,1.205
