일자,"2013년
10.6 mm
54.0 톤
PCC 0.611
강수량 (mm)","2014년
4.5 mm
34.6 톤
PCC 0.248
강수량 (mm)","2015년
32.0 mm
44.5 톤
PCC 0.019
강수량 (mm)","2016년
113.1 mm
40.5 톤
PCC 0.372
강수량 (mm)","2017년
25.5 mm
31.3 톤
PCC 0.200
강수량 (mm)","2018년
81.5 mm
23.1 톤
PCC 0.033
강수량 (mm)","2019년
61.5 mm
17.7 톤
PCC 0.275
강수량 (mm)","2020년
7.1 mm
38.7 톤
PCC -0.011
강수량 (mm)","2021년
33.6 mm
19.2 톤
PCC 0.250
강수량 (mm)","2022년
157.4 mm
22.8 톤
PCC 0.239
강수량 (mm)","2013년
10.6 mm
54.0 톤
PCC 0.611
거래물량 (톤)","2014년
4.5 mm
34.6 톤
PCC 0.248
거래물량 (톤)","2015년
32.0 mm
44.5 톤
PCC 0.019
거래물량 (톤)","2016년
113.1 mm
40.5 톤
PCC 0.372
거래물량 (톤)","2017년
25.5 mm
31.3 톤
PCC 0.200
거래물량 (톤)","2018년
81.5 mm
23.1 톤
PCC 0.033
거래물량 (톤)","2019년
61.5 mm
17.7 톤
PCC 0.275
거래물량 (톤)","2020년
7.1 mm
38.7 톤
PCC -0.011
거래물량 (톤)","2021년
33.6 mm
19.2 톤
PCC 0.250
거래물량 (톤)","2022년
157.4 mm
22.8 톤
PCC 0.239
거래물량 (톤)"
20220101,2.5,19.69,13.19,28.38,39.56,28.29,17.76,16.1,8.05,27.56,,5.85717,1.0154,0.9875,1.106,1.5305,1.73017,2.9618,5.9235,2.137
20220102,3,16.88,11.31,24.38,34.34,24.49,15.23,14.6,6.9,23.62,,4.644399999999999,0.66575,0.9875,1.106,1.486,1.6544,2.76675,5.457199999999999,2.2775
20220103,3.17,14.06,9.44,20.38,28.88,20.69,12.69,12.86,5.75,19.69,,7.352,1.63025,1.005,1.74175,1.953,2.8314,2.89,6.19375,1.8033299999999999
20220104,3.25,11.25,7.56,16.38,23.1,16.89,10.15,10.87,4.6,15.75,,7.9546,2.12967,0.829,1.7334,1.97433,2.5784000000000002,2.126,6.7206,2.495
20220105,3.3,8.44,5.69,12.38,17.33,13.09,7.61,8.89,3.45,11.81,,8.78775,2.12967,0.6605,1.8132000000000001,1.66325,2.3571999999999997,2.581,6.349600000000001,0.855
20220106,3.33,5.62,4.12,8.38,11.55,9.29,5.08,6.74,2.3,7.88,,8.285200000000001,2.12967,0.6605,2.001,2.47225,2.4125,2.7706,5.743399999999999,0.855
20220107,3.36,2.81,2.56,4.19,5.78,5.49,2.54,6.91,1.15,3.94,,7.1356,2.9555,0.74833,2.001,2.47225,2.2344,2.1284,5.247199999999999,0.855
20220108,3.38,0,0.94,0,0,1.67,0,7.85,0,0,,7.4946,4.706,0.73775,2.045,1.9938,2.2154000000000003,2.49025,5.557,0.855
20220109,3.5,0,1.25,0,0,2.07,0,12.91,0,0,,6.85983,4.706,0.73775,2.06325,1.9938,1.9745,2.1271999999999998,5.557,0.855
20220110,3.5,0,1.56,0,0,2.6,0,17.97,0,0,,6.19143,4.706,0.73775,2.06325,1.9938,1.9745,1.974,5.557,0.855
