average_temperature,highest_temperature,lowest_temperature,daily_temperature_range,average_humidity,precipitation,transaction_volume_data
-9.2,-3.03,-15.4,12.37,62.83,1.33,2.43
-9.9,-2.8,-17.0,14.2,58.5,1.38,1.275
-9.68,-2.14,-17.22,15.08,57.2,1.4,1.39
-8.93,-1.33,-16.55,15.22,56.33,1.42,1.39
-8.53,-0.81,-16.26,15.44,54.86,1.43,1.54875
-8.12,-0.4,-15.88,15.48,54.0,1.44,1.54875
-7.74,-0.52,-14.99,14.47,52.11,1.44,2.271
-7.71,-0.65,-14.78,14.13,50.75,1.45,2.635
-7.66,-0.39,-14.95,14.56,51.05,1.45,2.92571
-7.09,0.39,-14.6,14.99,51.5,1.46,2.61938
-6.75,0.56,-14.08,14.64,52.54,1.46,2.61938
-6.42,0.88,-13.75,14.63,52.68,1.46,2.72
-6.24,1.07,-13.58,14.65,53.37,1.47,2.4515
-6.01,1.21,-13.26,14.48,54.09,1.47,2.4383600000000003
-5.98,1.12,-13.09,14.22,54.35,1.47,2.2685
-5.96,1.22,-13.15,14.37,54.03,1.47,2.34377
-5.77,1.51,-13.05,14.56,54.24,1.47,2.39993
-5.51,1.75,-12.78,14.52,54.8,1.48,2.39993
-5.19,1.77,-12.16,13.92,56.31,2.19,2.70507
-5.19,1.77,-12.16,13.92,56.31,2.84,2.64231
-5.19,1.77,-12.16,13.92,56.31,3.43,2.6598200000000003
-4.89,2.0,-11.8,13.8,56.61,3.98,2.68344
-4.87,1.88,-11.64,13.52,55.48,4.48,2.62158
-4.87,1.78,-11.54,13.33,54.69,4.94,2.62158
-4.92,1.68,-11.55,13.23,54.62,5.37,2.62158
-4.88,1.8,-11.57,13.37,54.46,5.77,2.59675
-4.68,2.07,-11.45,13.52,54.57,6.14,2.59548
-4.4,2.4,-11.21,13.61,54.88,6.48,2.65914
-4.09,2.78,-10.98,13.76,55.1,6.81,2.68443
-3.55,3.25,-10.36,13.61,55.26,7.16,2.76871
-3.16,3.61,-9.94,13.56,54.97,7.5,2.66276
-2.83,3.89,-9.55,13.44,55.09,7.85,2.67246
-2.39,4.12,-8.91,13.03,55.95,8.32,3.06267
-2.16,4.11,-8.44,12.56,56.98,8.89,3.06808
-1.97,4.14,-8.09,12.23,57.67,9.48,3.16028
-1.94,4.1,-7.98,12.08,57.62,10.08,3.28564
-2.01,3.96,-7.99,11.95,57.48,10.68,3.22269
-2.04,4.01,-8.1,12.11,58.03,11.27,3.1452
-1.89,4.24,-8.01,12.25,58.76,11.87,3.09062
-1.69,4.29,-7.66,11.95,58.14,12.47,3.02196
-1.71,4.06,-7.47,11.52,58.22,13.06,3.13773
-1.66,4.15,-7.47,11.62,57.72,13.66,3.0206500000000003
-1.53,4.27,-7.32,11.58,57.45,14.26,2.99773
-1.35,4.34,-7.03,11.37,56.6,14.85,3.13881
-1.34,4.39,-7.06,11.45,55.52,15.45,3.1804
-1.16,4.57,-6.87,11.44,55.38,16.05,3.32674
-0.81,4.74,-6.37,11.12,55.53,16.68,3.17953
-0.76,4.67,-6.19,10.86,54.47,17.31,3.18228
-0.82,4.59,-6.22,10.81,53.45,17.94,3.02795
-0.89,4.69,-6.47,11.16,51.79,18.08,2.70811
-0.84,4.79,-6.47,11.26,52.13,18.24,2.64589
-0.86,4.79,-6.5,11.29,51.9,18.4,2.49905
-0.85,4.82,-6.52,11.34,51.05,18.56,2.4665
-0.63,5.19,-6.43,11.62,51.53,18.73,2.52288
-0.36,5.53,-6.24,11.77,52.1,18.89,2.52288
0.06,6.0,-5.86,11.87,51.82,19.05,2.40133
0.38,6.42,-5.64,12.06,51.63,19.21,2.28994
0.49,6.41,-5.42,11.83,51.42,18.69,2.15861
0.43,6.24,-5.38,11.62,50.63,18.18,1.94283
0.27,6.05,-5.49,11.55,50.21,17.66,1.86647
0.12,6.08,-5.82,11.9,49.18,17.29,1.68894
0.14,6.28,-6.0,12.28,48.77,16.92,1.68794
0.44,6.82,-5.95,12.76,48.48,16.53,1.5933499999999998
0.7,7.26,-5.86,13.12,48.15,16.03,1.04059
1.08,7.96,-5.78,13.74,47.18,15.44,0.95082
1.49,8.74,-5.75,14.49,46.37,14.81,0.67444
2.03,9.41,-5.34,14.75,45.92,14.18,0.37547
2.42,9.95,-5.11,15.06,45.89,13.55,0.2845
2.82,10.54,-4.89,15.43,45.84,12.92,0.27313
3.17,10.75,-4.41,15.16,46.19,12.6,0.26531
3.36,10.96,-4.24,15.2,47.08,12.27,0.26531
3.59,11.37,-4.19,15.56,46.85,11.95,0.26531
3.89,11.76,-4.0,15.76,46.61,11.63,0.25333
4.12,12.17,-3.94,16.11,46.73,11.53,0.25333
4.49,12.55,-3.58,16.13,47.71,12.05,0.25333
4.89,12.98,-3.22,16.2,48.65,12.56,0.25333
5.08,13.25,-3.1,16.34,48.66,13.08,0.25333
5.04,13.37,-3.31,16.68,48.21,13.56,0.23929
5.22,13.64,-3.23,16.86,48.76,14.05,0.23929
5.53,14.02,-2.98,17.0,49.26,14.53,0.23846
5.75,14.29,-2.8,17.08,49.65,15.02,0.18333
5.87,14.37,-2.65,17.01,49.0,15.48,0.1528199999999999
6.05,14.68,-2.6,17.28,48.92,15.95,0.1530999999999999
6.29,15.06,-2.5,17.56,49.15,16.42,0.1530999999999999
6.51,15.36,-2.35,17.72,49.29,16.89,0.1530999999999999
6.66,15.49,-2.19,17.68,48.5,17.35,0.1530999999999999
6.65,15.53,-2.25,17.78,48.27,17.82,0.1328899999999999
6.71,15.46,-2.05,17.52,48.15,18.29,0.1345
6.85,15.78,-2.09,17.87,48.02,18.27,0.12429
7.09,16.06,-1.9,17.96,48.5,18.26,0.12633
7.47,16.45,-1.52,17.98,48.29,18.24,0.12633
7.84,16.82,-1.16,17.98,47.89,18.23,0.12633
8.07,17.02,-0.88,17.91,48.27,18.21,0.1308
8.16,16.86,-0.55,17.41,49.32,18.89,0.1435
8.03,16.62,-0.57,17.19,49.06,19.56,0.162
7.98,16.56,-0.6,17.16,48.92,20.24,0.131
7.85,16.11,-0.42,16.52,48.48,20.92,0.131
7.64,15.71,-0.46,16.17,48.94,21.6,0.131
7.68,15.64,-0.31,15.95,49.24,22.4,0.131
7.61,15.46,-0.26,15.73,49.02,23.21,0.148
14.7,22.64,6.74,15.9,85.73,28.19,0.406
15.14,23.33,6.92,16.42,57.16,27.61,0.3495
15.5,23.8,7.18,16.62,57.34,27.03,0.2783299999999999
15.92,24.15,7.66,16.48,57.68,26.45,0.28575
16.37,24.9,7.83,17.07,56.95,25.35,0.3138
16.65,25.27,8.0,17.26,56.98,24.24,0.38617
17.06,25.67,8.43,17.24,57.02,23.11,0.38617
17.34,25.81,8.85,16.97,57.97,22.63,0.43043
17.68,25.95,9.38,16.57,58.92,22.48,0.43043
17.87,25.89,9.83,16.06,59.34,22.34,0.48588
18.14,26.22,10.03,16.2,59.23,21.97,0.64522
18.33,26.33,10.3,16.02,59.58,21.6,0.6989
18.63,26.63,10.61,16.02,59.77,21.6,0.7920900000000001
18.87,26.88,10.83,16.06,59.92,21.6,0.7920900000000001
19.08,27.15,11.0,16.15,60.03,21.55,0.89442
19.34,27.45,11.21,16.24,60.18,21.48,1.1383800000000002
19.65,27.71,11.56,16.15,60.39,21.42,1.39064
19.91,27.88,11.93,15.95,60.66,21.35,1.68473
20.12,28.02,12.2,15.82,60.95,21.29,1.94281
20.27,28.0,12.53,15.47,61.13,21.23,2.2359400000000003
20.44,28.09,12.77,15.32,61.4,21.16,2.2359400000000003
20.57,28.3,12.81,15.5,61.18,20.74,2.80844
20.65,28.19,13.08,15.11,61.77,20.47,3.38137
20.69,27.96,13.4,14.56,62.74,20.21,3.75895
20.83,27.85,13.78,14.07,63.27,19.95,3.87857
20.95,27.74,14.14,13.6,63.87,19.73,4.28836
21.19,27.91,14.44,13.48,64.23,19.52,4.7422200000000005
21.48,28.2,14.74,13.46,64.16,19.31,4.7422200000000005
21.73,28.39,15.05,13.34,64.37,19.1,5.511
21.94,28.4,15.47,12.93,65.06,19.97,6.12652
22.08,28.68,15.47,13.21,64.53,20.29,6.56619
22.35,28.91,15.78,13.13,64.63,20.61,7.32815
22.58,28.9,16.25,12.65,65.4,20.94,8.30485
22.78,28.9,16.64,12.26,65.63,21.27,9.66796
22.79,28.74,16.83,11.91,66.02,21.68,10.04236
22.81,28.64,16.96,11.68,66.42,22.08,11.3648
22.88,28.57,17.18,11.39,66.67,22.58,12.85012
22.94,28.6,17.29,11.31,66.83,23.11,13.57846
23.11,28.83,17.39,11.44,66.62,23.0,14.75846
23.28,29.07,17.5,11.57,66.05,22.55,15.55419
23.49,29.45,17.54,11.9,65.65,22.1,16.94996
23.68,29.63,17.73,11.9,65.9,21.65,17.52804
23.94,29.86,18.03,11.83,66.02,19.68,20.16442
24.13,30.01,18.26,11.75,66.22,19.76,22.49442
24.39,30.17,18.63,11.54,66.28,20.02,23.43778
24.6,30.23,18.97,11.27,66.8,20.94,24.73644
24.6,30.01,19.21,10.8,67.82,24.16,26.23937
24.72,30.04,19.42,10.62,68.17,27.39,27.563560000000003
24.72,29.87,19.57,10.3,68.83,30.82,28.40054
24.88,30.04,19.74,10.3,68.95,34.26,30.48912
25.12,30.27,19.99,10.28,69.07,37.69,32.34419
25.35,30.5,20.22,10.28,69.05,41.13,33.309
25.61,30.72,20.53,10.19,69.05,44.56,35.17204
25.82,31.0,20.64,10.36,68.9,47.85,37.10356
26.01,31.3,20.73,10.58,68.52,51.13,39.33822
26.1,31.44,20.78,10.66,68.57,54.47,40.61004
26.21,31.64,20.79,10.85,68.55,57.77,42.66446
26.22,31.69,20.78,10.91,68.53,61.06,44.65885
26.31,31.75,20.88,10.87,68.65,64.35,45.364
26.47,31.89,21.06,10.83,68.67,67.65,46.92956
26.6,32.15,21.05,11.1,68.22,69.84,48.694480000000006
26.65,32.22,21.1,11.11,68.21,72.03,51.0703
26.69,32.25,21.13,11.13,68.47,74.29,52.25696
26.85,32.44,21.25,11.19,68.32,76.55,54.94962
26.88,32.44,21.32,11.11,68.6,79.05,56.91427
27.03,32.64,21.41,11.23,68.6,81.48,57.94474
27.11,32.73,21.48,11.24,68.61,83.92,59.73144
27.17,32.83,21.52,11.31,68.52,86.26,61.93119
27.22,32.91,21.51,11.4,68.47,88.56,65.7623
27.2,32.82,21.58,11.25,69.05,91.19,67.08485
27.27,32.93,21.61,11.32,69.13,93.87,70.9295
27.27,32.88,21.65,11.23,69.58,97.39,74.83565
27.29,32.8,21.78,11.02,70.11,101.05,77.85811
27.33,32.76,21.9,10.85,70.53,101.47,80.15285
27.39,32.74,22.03,10.71,70.84,101.84,85.43552000000001
27.41,32.73,22.08,10.65,71.1,103.24,91.29856
27.47,32.78,22.16,10.63,71.1,104.15,93.38373
27.65,33.07,22.23,10.85,70.39,102.74,104.16435
27.71,33.14,22.27,10.87,70.48,101.81,114.96381
27.88,33.42,22.33,11.09,70.18,100.66,123.31585
27.96,33.52,22.4,11.12,70.05,99.52,133.16074
27.99,33.58,22.4,11.19,70.08,98.37,144.45963
28.04,33.63,22.44,11.19,70.13,97.24,159.86548000000002
28.05,33.64,22.46,11.17,70.24,96.11,163.59712
28.14,33.76,22.52,11.24,70.21,94.98,183.23777
28.19,33.79,22.6,11.19,70.16,93.85,198.47112
28.22,33.83,22.62,11.21,70.05,92.66,208.67726
28.25,33.9,22.6,11.3,69.76,91.47,224.33467
28.28,33.94,22.63,11.31,69.74,90.27,241.52919
28.29,33.98,22.62,11.36,69.61,89.08,259.49381
28.29,34.03,22.56,11.46,69.58,87.89,266.95654
28.32,34.07,22.59,11.48,69.45,86.69,288.57392
28.37,34.12,22.65,11.47,69.27,85.5,304.3295
28.41,34.11,22.75,11.36,69.19,84.24,308.37011
28.39,34.08,22.74,11.34,69.32,83.02,318.428
28.36,33.98,22.77,11.21,69.68,82.58,326.33052000000004
28.22,33.74,22.73,11.01,69.9,82.68,329.37452
28.17,33.65,22.7,10.95,70.02,82.77,338.89938
28.1,33.61,22.6,11.01,69.98,82.87,348.36031
28.05,33.58,22.53,11.05,69.94,82.97,354.68577
28.07,33.74,22.43,11.31,69.24,82.74,350.844
27.99,33.66,22.34,11.32,69.34,83.02,354.36967
28.03,33.64,22.44,11.2,69.16,82.47,355.09048
27.94,33.58,22.31,11.27,68.58,81.77,353.82544
27.81,33.46,22.17,11.29,68.26,81.35,362.36927
27.65,33.38,21.94,11.44,67.74,80.9,360.99354
27.32,33.03,21.62,11.41,67.74,79.24,358.02677
27.03,32.88,21.19,11.69,67.26,77.42,348.60985
26.7,32.57,20.85,11.72,67.29,75.6,340.39544
26.39,32.15,20.66,11.48,67.6,73.44,331.96221999999995
26.13,31.8,20.47,11.33,67.6,71.29,322.40626000000003
25.84,31.53,20.16,11.37,67.58,69.15,322.27077
25.54,31.23,19.85,11.37,67.63,67.0,311.754
25.28,30.94,19.64,11.31,67.71,64.85,297.42169
25.09,30.66,19.52,11.14,67.97,62.81,290.11656
24.81,30.29,19.34,10.95,68.24,60.76,271.64485
24.63,30.13,19.13,11.0,68.37,58.71,256.96204
24.39,29.79,18.99,10.8,68.82,57.97,241.86915
24.23,29.58,18.87,10.71,68.95,57.23,232.36185
23.96,29.35,18.57,10.78,68.76,56.48,214.45323
23.68,29.17,18.19,10.97,68.71,55.74,195.06673
23.49,29.02,17.95,11.06,68.5,55.0,188.30756
23.25,28.8,17.71,11.1,68.5,54.26,171.29614999999998
23.01,28.61,17.41,11.2,68.69,53.52,158.494
22.83,28.51,17.15,11.37,68.52,52.77,147.87183
22.59,28.29,16.89,11.4,68.53,52.0,138.33326
22.45,28.34,16.57,11.77,67.89,50.18,126.44057
22.42,28.42,16.42,12.0,67.57,47.82,121.18261
22.34,28.34,16.34,12.01,67.55,45.47,117.28983
22.05,28.07,16.03,12.03,67.28,43.11,104.15854
21.72,27.8,15.64,12.17,67.26,40.76,93.16308
21.42,27.43,15.41,12.02,67.5,38.5,84.31271000000001
21.14,26.96,15.33,11.63,68.22,36.81,77.91774000000001
20.97,26.79,15.16,11.63,68.33,35.29,71.75617
20.89,26.68,15.1,11.58,68.71,30.81,67.09425999999999
20.7,26.55,14.86,11.69,68.79,31.03,65.32962
20.45,26.37,14.53,11.84,68.57,31.26,59.26329
20.32,26.41,14.24,12.17,68.29,31.48,55.11038
20.19,26.21,14.18,12.03,68.72,31.71,52.05892
20.19,26.15,14.23,11.92,69.16,31.94,49.837480000000006
20.29,26.29,14.3,11.99,69.02,32.03,46.52
20.24,26.15,14.34,11.81,69.53,33.53,43.4403
20.23,26.08,14.39,11.69,69.62,35.03,41.97371
20.12,25.82,14.43,11.39,70.28,36.82,38.92988
19.96,25.71,14.22,11.5,69.93,38.6,35.51546
19.65,25.54,13.78,11.76,69.26,40.27,32.11538
19.4,25.49,13.33,12.16,68.71,41.95,30.13057
19.18,25.35,13.03,12.32,68.36,43.63,27.46661
19.0,25.28,12.74,12.54,68.02,44.05,25.284740000000003
18.57,24.89,12.27,12.61,67.78,44.47,24.63271
18.2,24.5,11.92,12.57,67.98,44.89,22.43092
