average_temperature,highest_temperature,lowest_temperature,daily_temperature_range,average_humidity,precipitation,transaction_volume_data
-3.3,1.7,-8.3,10.0,78.5,0.5,0.2
-4.65,-0.4,-8.95,8.55,72.25,0.5,4.508
-6.25,-1.85,-10.75,8.9,66.5,0.5,7.586
-5.65,0.8,-12.15,12.95,67.75,0.5,5.57
-3.7,2.65,-10.05,12.7,70.5,0.5,4.784
-3.45,2.3,-9.2,11.5,67.0,0.5,9.316
-3.6,3.1,-10.25,13.35,63.5,0.5,7.668
-3.3,2.1,-8.6,10.7,67.75,0.5,7.692
-4.1,0.05,-8.15,8.2,64.0,0.5,5.416
-4.35,2.2,-10.9,13.1,58.75,0.5,5.708
-1.5,6.2,-9.25,15.45,67.75,0.5,8.838
0.1,5.6,-5.4,11.0,79.0,0.5,7.728
-1.35,4.45,-7.15,11.6,76.0,0.5,10.66
-1.5,5.8,-8.8,14.6,69.75,0.5,10.236
-1.6,4.8,-8.0,12.8,76.25,0.5,9.058
-2.7,2.1,-7.45,9.55,78.75,0.5,9.424
-3.3,2.15,-8.75,10.9,74.75,0.5,8.918
-0.85,5.45,-7.2,12.65,74.25,0.5,6.616
1.95,8.65,-4.75,13.4,73.25,0.5,5.94
4.5,9.0,0.0,9.0,80.75,7.0,10.588
6.5,7.8,5.2,2.6,88.5,13.5,9.314
0.5,4.3,-3.2,7.5,82.5,13.5,7.602
-0.6,2.55,-3.7,6.25,77.0,13.5,5.842
-2.5,0.25,-5.25,5.5,72.0,13.5,11.734
-3.3,-0.3,-6.3,6.0,72.5,13.5,12.812
-2.1,5.3,-9.4,14.7,77.5,13.5,10.144
0.35,7.75,-7.0,14.75,78.0,13.5,8.962
3.9,11.65,-3.8,15.45,77.75,13.5,10.958
5.0,13.1,-3.0,16.1,77.0,13.5,7.348
10.6,15.2,5.9,9.3,95.0,19.75,7.384
6.2,10.75,1.65,9.1,81.5,26.0,13.752
0.8,5.2,-3.6,8.8,72.5,28.5,13.296
1.4,5.4,-2.65,8.05,80.25,32.25,16.104
2.05,4.95,-0.9,5.85,85.75,36.0,16.132
1.35,3.2,-0.55,3.75,86.25,39.0,17.516
-0.95,2.45,-4.35,6.8,78.25,39.5,17.892
-4.85,-0.5,-9.2,8.7,69.75,39.5,16.922
-5.05,-0.3,-9.8,9.5,69.5,39.5,16.932
-0.5,3.9,-4.85,8.75,72.5,40.0,12.716
0.85,6.95,-5.25,12.2,67.5,40.0,13.686
1.55,7.4,-4.3,11.7,62.5,40.0,14.924
0.6,6.7,-5.55,12.25,57.5,40.0,15.424
0.2,6.0,-5.65,11.65,66.75,43.25,15.656
1.45,4.85,-1.95,6.8,77.5,47.25,14.064
1.15,4.5,-2.2,6.7,64.75,48.0,14.104
-0.3,4.75,-5.35,10.1,53.25,48.0,14.232
0.0,6.0,-5.95,11.95,56.25,48.0,8.48
1.15,7.85,-5.45,13.3,64.25,48.0,7.648
1.05,7.45,-5.3,12.75,65.25,48.0,15.248
0.85,8.1,-6.45,14.55,60.25,48.0,17.84
2.75,11.85,-6.4,18.25,57.0,48.0,7.531
5.2,12.2,-1.8,14.0,64.25,48.0,9.5215
7.25,13.0,1.55,11.45,65.75,48.0,12.43
8.3,17.25,-0.6,17.85,57.75,48.0,13.128
6.95,15.55,-1.65,17.2,68.25,26.25,14.063
3.3,8.45,-1.9,10.35,72.25,4.5,14.843
0.6,6.25,-5.05,11.3,67.25,4.5,14.468
1.9,10.25,-6.4,16.65,65.75,4.5,16.36
3.75,13.2,-5.75,18.95,61.0,4.5,17.216
5.45,15.9,-5.05,20.95,60.25,4.5,17.606
7.75,17.15,-1.6,18.75,70.25,5.0,16.8
9.55,17.75,1.35,16.4,74.0,5.5,17.354
11.65,22.25,0.95,21.3,66.25,5.5,18.759
9.3,18.9,-0.35,19.25,60.0,5.5,19.27
5.9,14.35,-2.55,16.9,58.25,5.5,18.026
7.1,17.55,-3.3,20.85,60.0,5.5,17.901
8.3,17.45,-0.85,18.3,73.75,16.75,18.492
6.9,13.8,-0.05,13.85,80.0,28.0,17.961
5.6,12.55,-1.3,13.85,72.5,28.0,17.895
6.55,14.55,-1.4,15.95,63.25,28.0,20.528
7.25,15.4,-0.85,16.25,63.5,46.75,21.98
8.3,13.55,3.15,10.4,79.0,74.0,22.556
10.9,15.4,6.45,8.95,79.5,82.5,23.0745
8.7,15.55,1.85,13.7,75.5,82.5,25.0115
3.9,10.8,-3.0,13.8,69.25,82.5,25.362
3.85,10.9,-3.15,14.05,67.5,82.5,24.118
6.6,14.2,-0.95,15.15,65.0,82.5,23.424
6.7,13.2,0.2,13.0,63.75,82.5,22.906
4.0,8.8,-0.85,9.65,66.25,82.5,16.504
4.35,10.6,-2.0,12.6,57.25,82.5,18.867
7.9,15.9,-0.2,16.1,58.0,82.5,21.454
9.35,18.4,0.25,18.15,60.75,82.5,22.063
8.25,16.4,0.1,16.3,53.0,82.5,23.032
7.3,14.55,0.05,14.5,54.5,82.75,24.661
7.0,15.6,-1.6,17.2,63.0,83.0,25.706
9.8,19.4,0.1,19.3,61.5,41.5,20.786
8.05,14.15,1.9,12.25,72.0,0.0,23.995
7.9,13.35,2.4,10.95,71.0,0.0,26.667
11.35,20.45,2.25,18.2,53.75,0.0,27.233
12.65,21.75,3.65,18.1,57.0,0.0,27.647
10.1,16.55,3.7,12.85,74.25,7.75,27.11
5.6,10.15,1.1,9.05,79.0,15.5,27.262
4.65,11.3,-1.95,13.25,68.75,15.5,20.57
7.0,14.15,-0.2,14.35,58.5,15.5,22.907
5.8,11.45,0.1,11.35,57.5,15.5,26.724
5.2,11.35,-0.9,12.25,58.0,15.5,26.754
6.1,12.85,-0.55,13.4,59.0,15.5,24.387
7.2,16.15,-1.75,17.9,60.0,15.5,25.139
8.75,18.5,-1.05,19.55,56.25,15.5,26.808
9.15,19.15,-0.85,20.0,53.75,15.5,25.211
11.9,22.25,1.55,20.7,64.75,15.5,26.5365
15.8,22.5,9.1,13.4,79.75,15.5,28.562
14.65,20.05,9.25,10.8,71.0,15.5,29.464
10.45,18.25,2.7,15.55,61.25,15.5,30.471
7.8,13.15,2.45,10.7,71.5,18.75,30.91
7.9,12.0,3.7,8.3,70.0,22.0,30.544
9.6,18.35,0.8,17.55,59.25,22.0,29.218
10.7,17.85,3.6,14.25,71.5,33.25,28.736
11.45,16.05,6.9,9.15,80.5,44.75,26.786
10.3,15.3,5.3,10.0,80.75,45.0,25.4
9.85,16.0,3.75,12.25,75.0,45.0,25.401
10.7,19.55,1.9,17.65,62.75,45.0,25.547
12.85,21.5,4.25,17.25,66.5,45.0,25.774
13.9,21.15,6.75,14.4,79.75,45.75,19.714
13.25,20.5,6.0,14.5,74.25,46.5,18.902
12.35,20.4,4.2,16.2,65.5,23.25,18.769
11.25,19.45,2.95,16.5,71.0,0.0,16.388
12.1,20.45,3.65,16.8,69.25,0.0,13.795
13.25,21.05,5.35,15.7,66.5,0.0,14.167
13.85,22.5,5.15,17.35,64.0,0.0,14.072
14.0,24.75,3.25,21.5,61.5,0.0,4.3
15.05,26.0,4.1,21.9,63.5,0.0,5.882
17.1,27.45,6.75,20.7,63.75,0.0,7.51
17.3,25.65,8.95,16.7,70.75,4.75,5.158
15.35,20.05,10.6,9.45,85.5,17.5,3.426
16.35,21.35,11.3,10.05,78.75,25.5,4.384
18.2,25.5,10.95,14.55,71.5,25.5,4.676
18.25,26.75,9.85,16.9,68.75,25.5,0.632
18.2,28.3,8.1,20.2,62.25,25.5,1.812
18.85,27.55,10.1,17.45,68.0,25.5,3.222
19.85,26.85,12.8,14.05,73.25,25.5,3.294
18.7,26.5,10.85,15.65,69.25,25.5,2.106
17.75,26.15,9.3,16.85,69.0,28.0,2.584
17.9,26.3,9.4,16.9,74.0,30.5,4.092
16.0,20.1,11.9,8.2,86.0,30.5,4.144
17.45,23.95,10.9,13.05,70.5,30.5,4.562
19.5,28.75,10.2,18.55,63.0,30.5,4.476
21.0,30.0,12.0,18.0,71.75,30.5,3.048
22.0,30.7,13.25,17.45,70.5,30.5,2.618
22.5,31.25,13.75,17.5,69.0,30.5,3.112
20.35,24.2,16.45,7.75,79.25,68.0,2.98
19.65,22.05,17.3,4.75,86.5,109.75,1.62
18.65,20.7,16.6,4.1,91.0,114.0,3.44
18.95,23.05,14.85,8.2,79.0,114.0,4.33
19.45,25.5,13.4,12.1,72.75,114.0,2.574
18.7,23.45,13.95,9.5,78.25,57.0,3.524
19.25,25.2,13.3,11.9,75.25,0.0,3.94
21.0,28.45,13.45,15.0,73.5,0.0,3.0
22.45,29.7,15.15,14.55,71.5,0.0,3.0
22.95,30.8,15.15,15.65,69.5,0.0,4.04
23.55,31.4,15.75,15.65,69.25,0.0,3.22
24.0,30.75,17.3,13.45,70.25,0.0,3.42
23.05,28.4,17.75,10.65,73.0,0.0,3.45
23.2,28.5,17.9,10.6,69.75,0.0,2.46
24.05,28.6,19.45,9.15,69.75,0.0,4.0
23.65,26.95,20.25,6.7,75.5,0.25,3.5
22.4,24.8,19.95,4.85,84.75,2.25,3.0
21.95,24.65,19.2,5.45,86.75,4.0,5.26
22.05,25.15,18.9,6.25,87.0,6.0,3.87
23.15,26.8,19.5,7.3,84.5,8.0,2.84
24.3,29.9,18.65,11.25,77.5,8.0,3.2
24.0,29.65,18.35,11.3,79.0,8.0,0.8
24.1,27.45,20.75,6.7,87.5,21.25,1.9
24.5,26.95,21.95,5.0,90.25,52.0,2.82
25.7,30.1,21.25,8.85,81.5,69.5,2.64
26.45,32.1,20.8,11.3,76.0,69.5,3.04
25.7,31.15,20.3,10.85,77.25,69.5,3.41
23.15,26.7,19.6,7.1,84.0,71.0,3.78
22.05,25.7,18.35,7.35,82.25,72.5,4.06
22.5,26.8,18.2,8.6,80.25,76.25,4.05
23.3,27.55,19.05,8.5,81.0,81.0,3.04
23.85,28.85,18.9,9.95,80.5,82.0,1.288
23.4,28.2,18.7,9.5,83.5,82.0,1.628
25.1,31.5,18.8,12.7,74.0,82.0,2.72
26.4,30.95,21.85,9.1,81.0,0.0,3.44
25.65,28.35,22.9,5.45,89.25,17.75,1.732
24.5,26.2,22.8,3.4,94.0,35.5,2.712
25.4,28.5,22.2,6.3,86.0,35.5,2.46
24.45,26.95,21.95,5.0,90.0,75.5,2.52
24.95,27.15,22.85,4.3,90.25,115.5,3.696
27.0,29.9,24.2,5.7,85.5,115.5,3.868
27.2,30.35,24.1,6.25,83.75,115.5,3.22
27.2,30.7,23.7,7.0,80.75,115.5,2.2
26.6,31.1,22.1,9.0,81.25,115.5,2.0
26.9,31.65,22.15,9.5,82.0,115.5,3.8
27.8,31.8,23.75,8.05,82.5,115.5,3.8
27.7,31.55,23.8,7.75,82.25,115.5,2.4
27.7,32.05,23.3,8.75,76.5,115.5,2.3
27.15,31.15,23.15,8.0,77.75,115.5,2.4
26.75,31.05,22.55,8.5,80.25,115.5,2.07
26.7,32.25,21.25,11.0,77.5,115.5,1.47
27.15,32.8,21.55,11.25,76.0,115.5,2.01
27.15,31.8,22.5,9.3,80.75,116.25,2.62
27.2,31.2,23.25,7.95,83.25,117.0,2.44
26.95,30.05,23.9,6.15,86.0,118.75,1.65
26.25,28.8,23.7,5.1,90.25,124.75,1.68
26.45,30.1,22.8,7.3,86.0,129.0,2.5
27.3,32.05,22.5,9.55,80.5,129.0,1.82
27.35,32.35,22.25,10.1,79.5,129.0,2.09
27.85,32.2,23.4,8.8,80.25,129.25,2.36
27.15,30.05,24.25,5.8,87.25,141.5,2.74
27.25,30.0,24.5,5.5,90.0,155.25,2.17
29.0,32.55,25.4,7.15,84.25,159.25,1.1
29.0,32.75,25.25,7.5,83.5,80.75,0.32
28.4,31.95,24.85,7.1,84.0,0.0,0.52
27.7,30.85,24.55,6.3,85.25,2.25,0.51
27.9,31.55,24.25,7.3,84.25,4.75,0.02
27.3,31.55,23.0,8.55,83.5,9.0,2.06
27.35,32.5,22.2,10.3,82.5,13.0,1.06
