average_temperature,highest_temperature,lowest_temperature,daily_temperature_range,average_humidity,precipitation,transaction_volume_data
-5.39,0.8,-11.55,12.35,67.81,34.5,0.45
-4.01,2.01,-10.0,12.01,66.19,34.5,0.45
-3.06,2.63,-8.71,11.34,66.38,34.5,0.45
-2.21,3.09,-7.48,10.56,64.44,34.5,0.45
-2.1,3.28,-7.45,10.73,62.69,34.5,0.45
-1.66,3.41,-6.73,10.14,61.88,34.5,0.899
-1.6,3.43,-6.61,10.04,63.0,34.56,0.899
-1.71,3.41,-6.82,10.24,63.38,34.62,0.899
-1.16,3.95,-6.27,10.22,64.38,34.69,1.348
-1.12,4.12,-6.39,10.51,64.62,34.75,1.348
-0.98,4.57,-6.54,11.11,64.12,34.81,1.348
-0.26,5.6,-6.12,11.72,66.75,34.88,1.348
0.87,7.3,-5.55,12.85,67.5,34.94,1.348
4.94,13.41,-3.56,16.98,67.5,8.62,1.859
5.44,14.23,-3.38,17.6,67.75,8.81,1.859
5.64,13.94,-2.69,16.63,69.75,11.38,1.2595
5.66,13.39,-2.06,15.45,70.88,13.94,1.2595
5.45,13.28,-2.39,15.66,69.56,16.38,1.2595
5.0,12.87,-2.89,15.76,67.31,18.81,1.2595
4.59,12.25,-3.06,15.31,66.94,21.69,1.2595
5.33,12.5,-1.86,14.36,70.38,25.81,1.2595
6.03,12.5,-0.46,12.96,72.0,29.94,0.66
5.89,12.05,-0.27,12.33,72.19,34.25,0.66
11.89,20.03,3.76,16.26,68.25,14.75,0.97
12.42,21.17,3.68,17.5,68.19,7.38,0.97
13.2,22.04,4.35,17.69,68.62,0.0,0.97
13.9,22.81,4.96,17.85,68.12,0.31,0.97
14.2,22.6,5.79,16.81,70.88,3.44,0.97
14.98,23.31,6.6,16.71,70.69,6.56,0.97
15.74,24.05,7.41,16.64,71.44,9.69,0.97
16.63,24.79,8.46,16.32,71.25,12.81,1.8385
17.14,25.09,9.2,15.89,71.06,15.94,2.707
17.48,24.85,10.11,14.74,71.06,19.06,2.707
17.71,24.79,10.66,14.12,71.06,22.19,2.757
17.66,24.85,10.51,14.34,71.69,25.0,2.757
18.01,25.71,10.32,15.39,68.5,25.5,2.757
17.75,24.82,10.71,14.11,71.62,28.81,2.757
17.31,24.12,10.54,13.59,72.25,32.12,2.757
16.75,23.66,9.86,13.8,72.12,35.44,2.807
16.69,23.61,9.79,13.82,73.5,38.75,2.807
17.09,24.25,9.94,14.31,73.38,42.06,2.807
19.72,25.56,13.86,11.7,76.94,79.75,6.381
19.52,25.09,13.94,11.15,77.88,73.31,5.7805
19.09,24.86,13.3,11.56,78.25,66.88,5.7805
18.8,24.83,12.79,12.04,78.94,60.44,6.20933
18.99,25.51,12.46,13.05,77.19,49.5,6.811
19.28,26.46,12.11,14.35,74.81,37.12,8.2774
20.24,27.73,12.79,14.94,72.69,24.75,11.2785
20.81,28.25,13.42,14.83,73.25,12.38,18.374
21.45,28.44,14.52,13.91,74.44,0.0,34.48486
21.7,28.96,14.5,14.46,73.94,0.0,39.369
22.0,29.14,14.92,14.21,74.06,0.0,64.35157
22.2,29.05,15.4,13.65,74.38,0.25,94.72671
22.05,28.21,15.95,12.26,77.5,0.75,120.69
22.11,27.78,16.49,11.29,78.62,1.25,141.91129
22.11,27.43,16.84,10.59,79.62,1.75,170.33414000000002
22.29,27.29,17.3,9.99,80.62,2.25,211.35929
22.4,27.35,17.45,9.9,81.06,2.75,226.72633
22.65,27.15,18.14,9.01,82.25,3.25,243.994
22.59,26.09,19.09,7.0,85.81,16.19,250.10014
22.81,26.17,19.44,6.74,86.0,29.38,245.60471
23.35,27.25,19.41,7.84,82.88,42.31,266.87229
23.55,27.59,19.5,8.09,82.31,55.25,306.95457
23.65,27.94,19.34,8.6,81.81,68.19,347.45571
23.29,27.47,19.09,8.39,82.19,81.12,347.3445
23.0,27.26,18.74,8.52,82.44,94.06,381.21471
23.1,27.44,18.78,8.66,82.56,109.94,403.68686
23.34,28.19,18.49,9.7,80.5,116.5,430.64143
23.32,28.4,18.27,10.13,80.5,126.94,467.701
23.16,28.16,18.2,9.96,81.57,137.38,484.887
23.26,28.4,18.13,10.27,81.21,147.81,488.54843
23.44,28.7,18.2,10.5,80.5,158.25,485.18117
23.9,29.43,18.39,11.04,80.07,144.81,485.848
24.4,29.6,19.21,10.39,81.43,133.06,478.64057
24.57,29.71,19.41,10.3,81.93,118.38,461.323
24.77,29.51,20.01,9.5,84.0,100.94,464.16029
24.87,29.06,20.64,8.41,85.29,82.5,476.37586
24.95,29.14,20.74,8.4,85.44,64.06,472.38657
24.89,28.64,21.11,7.53,87.75,46.0,472.968
24.75,28.06,21.42,6.64,90.0,30.81,493.40729
24.89,27.76,21.99,5.77,91.25,39.62,473.05
25.16,27.95,22.34,5.61,91.0,46.75,466.77943
25.28,27.85,22.69,5.16,91.69,53.88,487.00657
25.26,27.7,22.81,4.89,91.38,60.62,497.65543
25.54,28.0,23.07,4.93,91.44,64.56,460.94957
